Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	FoldEnrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	"GO:0007187~G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	10	24.3902439	1.25E-15	"HRH1, MTNR1A, CNR2, MTNR1B, CNR1, HTR1D, HTR1A, HTR2C, HTR2A, DRD4"	41	54	19416	87.69647696	1.48E-12	1.52E-12	1.40E-12
SMART	SM01381:7TM_GPCR_Srsx	12	29.26829268	2.30E-14	"HRH1, MTNR1A, CNR2, MTNR1B, CNR1, HTR1D, HTR1A, HTR2C, HTR2A, DRD2, HCRTR2, DRD4"	32	124	10680	32.2983871	6.21E-13	6.43E-13	6.43E-13
GOTERM_CC_DIRECT	GO:0045202~synapse	14	34.14634146	1.78E-11	"GABRB3, GABRA1, APP, HTR1D, HTR1A, HTR2C, HTR3A, HTR2A, PSEN1, HCRTR2, SLC6A4, HRH1, MTNR1B, DRD2"	41	549	20666	12.85370296	3.01E-09	3.01E-09	2.35E-09
GOTERM_MF_DIRECT	GO:0051378~serotonin binding	6	14.63414634	2.37E-11	"HTR1A, HTR2C, HTR3A, HTR2A, DRD4, SLC6A4"	41	12	19208	234.2439024	6.23E-09	6.23E-09	5.78E-09
GOTERM_CC_DIRECT	GO:0030425~dendrite	13	31.70731707	4.62E-11	"GSK3B, APP, MAOB, LRRK2, HTR1D, HTR1A, HTR2C, HTR2A, PSEN1, HRH1, CNR2, DRD2, DRD4"	41	465	20666	14.09168634	7.80E-09	3.90E-09	3.05E-09
GOTERM_MF_DIRECT	GO:0030594~neurotransmitter receptor activity	7	17.07317073	7.10E-11	"GABRB3, HRH1, HTR1D, HTR1A, HTR2C, HTR2A, DRD4"	41	34	19208	96.45337159	1.87E-08	9.33E-09	8.66E-09
KEGG_PATHWAY	hsa04080:Neuroactive ligand-receptor interaction	15	36.58536585	2.07E-10	"GABRB3, GABRA1, THRB, HTR1D, HTR1A, HTR2C, HTR2A, HCRTR2, HRH1, MTNR1A, CNR2, MTNR1B, CNR1, DRD2, DRD4"	40	368	8865	9.033627717	3.66E-08	3.66E-08	3.02E-08
GOTERM_MF_DIRECT	GO:0004993~G protein-coupled serotonin receptor activity	6	14.63414634	7.75E-10	"HRH1, HTR1D, HTR1A, HTR2C, HTR2A, DRD4"	41	22	19208	127.7694013	2.04E-07	6.80E-08	6.31E-08
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	10	24.3902439	8.11E-10	"GABRB3, HRH1, MTNR1B, HTR1D, HTR1A, HTR2C, HTR3A, HTR2A, HCRTR2, DRD4"	41	231	19416	20.50047513	9.80E-07	4.90E-07	4.52E-07
KEGG_PATHWAY	hsa04726:Serotonergic synapse	10	24.3902439	1.16E-09	"GABRB3, APP, MAOB, MAOA, HTR1D, HTR1A, HTR2C, HTR3A, HTR2A, SLC6A4"	40	115	8865	19.27173913	2.05E-07	1.03E-07	8.47E-08
