ID	MCF7-HG (1)	MCF7 HG->LG (2)	ADIPO-HG (2)	ADIPO-HG->LG (2)	MCF7 [+ADIPO] HG (2)	MCF7 [+ADIPO] HG->LG (2)	ADIPO [+MCF7] HG (2)	ADIPO [+MCF7] HG->LG (2)	MCF7-HG (3)	MCF7 HG->LG (3)	ADIPO-HG (3)	MCF7 HG->LG (1)	ADIPO-HG->LG (3)	MCF7 [+ADIPO] HG (3)	MCF7 [+ADIPO] HG->LG (3)	ADIPO [+MCF7] HG (3)	ADIPO [+MCF7] HG->LG (3)	ADIPO-HG (1)	ADIPO-HG->LG (1)	MCF7 [+ADIPO] HG (1)	MCF7 [+ADIPO] HG->LG (1)	ADIPO [+MCF7] HG (1)	ADIPO [+MCF7] HG->LG (1)	MCF7-HG (2)
NM_000016	2905	2496	1802	1400	2180	2123	1714	1743	2660	2420	1384	2614	1469	2549	2419	1456	1314	1721	1699	2424	2317	1529	1450	2350
NM_000017	178	161	184	174	154	118	169	191	157	143	202	135	214	173	163	185	168	172	165	163	153	169	137	144
NM_000018	6795	5176	7609	5857	5245	5453	7822	8217	5706	5610	4545	6693	6028	6026	5116	7682	7320	6878	6104	6801	5738	6436	5504	5115
NM_000019	3498	2718	1457	1210	2236	2553	1317	1431	2998	2727	684	3359	1263	2522	2678	1001	1100	1543	1520	3062	2581	1133	1122	2613
NM_000020	55	33	841	796	27	37	897	981	22	24	1185	89	822	37	34	1010	846	1013	836	51	44	977	770	31
NM_000021	3315	2849	3855	3026	2595	2781	3543	3844	3070	2899	2358	3078	3260	2817	2496	3535	3343	4023	3849	3208	2755	3615	3154	2830
NM_000022	129	65	850	590	215	189	768	773	71	74	246	161	460	253	225	464	485	610	708	283	191	567	506	57
NM_000026	3949	3871	2279	1786	3536	4105	2359	2415	4035	3962	2095	3685	1909	4278	4319	1912	1847	2373	2394	4245	3829	2104	1962	3720
NM_000027	1451	1548	1204	960	1238	1483	1073	1170	1510	1471	878	1406	993	1427	1570	1025	937	1050	1045	1530	1273	975	950	1345
NM_000028	1372	1583	3775	3064	1349	1711	3583	3493	1671	1506	2548	1358	3032	1529	1619	2740	2690	3778	3288	1513	1449	3398	3229	1559
NM_000031	861	968	534	450	692	696	445	472	1013	1034	420	777	406	793	872	363	396	487	477	940	859	395	389	967
