var1	var2	var3	var4	var5	var6
top	top	top	bottom	bottom	bottom
0.546591462	1.575591824	1.508967628	2.504824128	5.540245787	6.198930517
-0.640523401	5.275076375	1.498840527	4.436792443	4.987389951	5.194154164
1.031964377	2.561982881	4.018348737	3.506171496	5.030394857	6.570980061
0.095188151	1.802874364	2.057855394	2.789252434	4.797252053	7.545843997
0.891477207	2.627927168	2.218567216	4.581938949	4.791792094	5.468657314
0.617867806	3.574564874	2.051910156	4.929030998	5.830516368	6.105716044
0.384980221	0.824461756	3.704699016	3.803349357	4.016410172	4.860395884
1.238328198	1.937954313	4.721706901	4.549137035	4.922025702	6.887748784
0.84980684	1.134242322	4.557124779	2.795271102	5.615770733	4.192420942
1.922432636	3.013696024	3.54405211	4.766817404	3.349066323	7.526063137
1.143391389	1.708589059	3.143761964	3.834944748	7.064212916	4.655145133
1.203046267	1.581849827	2.843311806	3.703041241	5.44718599	6.68623172
-0.662163207	2.239731195	2.003434615	5.731169301	2.279533631	6.179886586
-2.225846215	3.154355257	4.016192941	4.467988265	6.458131837	6.734089487
-1.438068612	2.649942898	1.628656441	3.134859574	3.980011946	6.238583077
0.376628365	2.630198753	2.87657922	3.110816096	4.789592861	5.488043611
0.842964341	1.721777574	3.394639308	5.798153043	4.35698825	5.801862614
0.110478311	2.012705235	2.555950426	3.838279346	6.283095776	4.435224526
-0.582747938	0.962425682	3.252990631	3.188760144	4.454199534	7.943155115
0.378037894	1.747868314	2.864349636	3.106116363	4.488510685	5.333307934
-2.369146277	0.204021525	2.923740302	4.307798957	6.687970396	5.327237583
-1.11115904	1.784171689	3.534911625	3.559099375	5.396013149	6.534725398
1.015703888	2.777977035	2.713411505	5.356886333	4.870706507	5.344225294
-0.862608417	2.534011522	2.305773994	4.523848632	4.949003018	6.596716291
-0.846243555	1.60812877	3.232718381	4.555426354	5.106470478	6.144229733
-0.378913682	3.877322613	3.382629249	2.845224762	5.076341057	5.328406869
1.601433609	0.579917832	3.5064929	4.442687861	3.640301325	6.186934705
-0.751581573	0.280755096	2.753915267	5.532385906	4.100403096	5.23626279
0.308341084	0.828402966	2.29173093	4.664021303	5.795444453	6.466475083
-0.759195583	0.182099662	3.675493835	5.837921826	5.472409761	6.303348793
-0.734592984	0.976990113	1.804176421	4.571843334	5.268637378	5.599069557
0.026391678	1.848776174	1.518895173	5.970624009	4.223081434	6.217929703
0.770359757	2.211265752	3.033876172	5.180121448	6.169644426	3.937893282
-0.096029191	2.307769625	2.636461857	2.507505877	3.656344436	5.148249404
-0.397749567	0.807151091	2.541830918	5.03522765	5.376553133	5.54214212
-0.486267081	1.961229566	3.211232178	6.250136068	4.17112869	7.140659768
0.895041582	3.615887254	4.111452952	3.191139181	5.784459384	6.895273363
-0.488137938	1.432737716	3.336819415	5.562757892	5.108075728	7.237143945
0.701473151	2.452595752	0.959592962	3.952587603	5.097206678	5.330011652
-0.215377396	2.240484569	2.394223165	2.59329215	5.776923273	6.843587033
-1.148590347	3.166112089	4.533139478	4.666533624	5.096246551	5.653045199
0.950664714	2.802574385	3.507667947	1.749255536	3.498916575	5.668645118
0.531814941	2.718961035	3.32659261	4.42112105	4.426951983	4.399859046
0.090935715	1.921122411	2.949145349	3.431475059	7.031680398	5.743304488
0.312000957	1.198547487	3.027948632	4.07885203	5.370834024	5.89638045
-1.647269089	2.861642581	3.72948223	3.22782877	5.654363625	7.459981978
