Experiment	Student	Doubling_time	facet
Exp1	A	17.36765255	F1
Exp1	B	18.04118772	F1
Exp1	C	18.70120484	F1
Exp1	D	20.06761596	F1
Exp1	E	20.19806909	F2
Exp1	F	22.11907857	F2
Exp1	G	22.64576693	F2
Exp1	H	22.05544067	F2
Exp1	I	20.58526975	F2
Exp1	J	21.69688231	F2
Exp2	A	22.03291526	F1
Exp2	B	22.42117195	F1
Exp2	C	20.16421296	F1
Exp2	D	14.91919347	F1
Exp2	E	18.47705967	F2
Exp2	F	19.36348152	F2
Exp2	G	18.39242966	F2
Exp2	H	16.41508176	F2
Exp2	I	20.13046102	F2
Exp2	J	21.08589933	F2
Exp3	A	20.48513787	F1
Exp3	B	18.30935344	F1
Exp3	C	19.24152172	F1
Exp3	D	21.38061093	F1
Exp3	E	19.3248693	F2
Exp3	F	20.62809197	F2
Exp3	G	20.31287118	F2
Exp3	H	18.9901684	F2
Exp3	I	21.20245087	F2
Exp3	J	20.737506	F2
Exp1	A	17.36765255	F2
Exp1	B	18.04118772	F2
Exp1	C	18.70120484	F2
Exp1	D	20.06761596	F2
Exp1	E	20.19806909	F1
Exp1	F	22.11907857	F1
Exp1	G	22.64576693	F1
Exp1	H	22.05544067	F1
Exp1	I	20.58526975	F1
Exp1	J	21.69688231	F1
Exp2	A	22.03291526	F2
Exp2	B	22.42117195	F2
Exp2	C	20.16421296	F2
Exp2	D	14.91919347	F2
Exp2	E	18.47705967	F1
Exp2	F	19.36348152	F1
Exp2	G	18.39242966	F1
Exp2	H	16.41508176	F1
Exp2	I	20.13046102	F1
Exp2	J	21.08589933	F1
Exp3	A	20.48513787	F2
Exp3	B	18.30935344	F2
Exp3	C	19.24152172	F2
Exp3	D	21.38061093	F2
Exp3	E	19.3248693	F1
Exp3	F	20.62809197	F1
Exp3	G	20.31287118	F1
Exp3	H	18.9901684	F1
Exp3	I	21.20245087	F1
Exp3	J	20.737506	F1
