Sample	Group
M1	G1
M2	G1
M3	G1
M4	G1
M5	G1
M6	G1
M7	G1
M8	G1
M9	G1
M10	G1
M11	G1
M12	G1
M13	G1
M14	G1
M15	G1
M16	G1
M17	G1
M18	G1
M19	G1
M20	G1
M21	G1
M22	G1
M23	G1
M24	G1
M25	G1
M26	G1
M27	G1
M28	G1
M29	G1
M30	G1
M31	G1
M32	G1
M33	G1
M34	G1
M35	G1
M36	G1
M37	G1
M38	G1
M39	G1
M40	G1
M41	G1
M42	G1
M43	G1
M44	G1
M45	G1
M46	G1
M47	G1
M48	G1
M49	G1
M50	G1
M51	G1
M52	G1
M53	G1
M54	G1
M55	G1
M56	G1
M57	G1
M58	G1
M59	G1
M60	G1
M61	G1
M62	G1
M63	G1
M64	G1
M65	G1
M66	G1
M67	G1
M68	G1
M69	G1
M70	G1
M71	G1
M72	G1
M73	G1
M74	G1
M75	G1
M76	G1
M77	G1
M78	G1
M79	G1
M80	G1
M81	G1
M82	G1
M83	G1
M84	G1
M85	G1
M86	G1
M87	G1
M88	G1
M89	G1
M90	G1
M91	G1
M92	G1
M93	G1
M94	G1
M95	G1
M96	G1
M97	G1
M98	G1
M99	G1
M100	G1
M101	G1
M102	G1
M103	G1
M104	G1
M105	G1
M106	G1
M107	G1
M108	G1
M109	G1
M110	G1
M111	G1
M112	G1
M113	G1
M114	G1
M115	G1
M116	G1
M117	G1
M118	G1
M119	G1
M120	G1
M121	G1
M122	G1
M123	G1
M124	G1
M125	G1
M126	G1
M127	G1
M128	G1
M129	G1
M130	G1
M131	G1
M132	G1
M133	G1
M134	G1
M135	G1
M136	G1
M137	G1
M138	G1
M139	G1
M140	G1
M141	G1
M142	G1
M143	G1
M144	G1
M145	G1
M146	G1
M147	G1
M148	G1
M149	G1
M150	G1
M151	G1
M152	G1
M153	G1
M154	G1
M155	G1
M156	G1
M157	G1
M158	G1
M159	G1
M160	G1
M161	G1
M162	G1
M163	G1
M164	G1
M165	G1
M166	G1
M167	G2
M168	G2
M169	G2
M170	G2
M171	G2
M172	G2
M173	G2
M174	G2
M175	G2
M176	G2
M177	G2
M178	G2
M179	G2
M180	G2
M181	G2
M182	G2
M183	G2
M184	G2
M185	G2
M186	G2
M187	G2
M188	G2
M189	G2
M190	G2
M191	G2
M192	G2
M193	G2
M194	G2
M195	G2
M196	G2
M197	G2
M198	G2
M199	G2
M200	G2
M201	G2
M202	G2
M203	G2
M204	G2
M205	G2
M206	G2
M207	G2
M208	G2
M209	G2
M210	G2
M211	G2
M212	G2
M213	G2
M214	G2
M215	G2
M216	G2
M217	G2
M218	G2
M219	G2
M220	G2
M221	G2
M222	G2
M223	G2
M224	G2
M225	G2
M226	G2
M227	G2
M228	G2
M229	G2
M230	G2
M231	G2
M232	G2
M233	G2
M234	G2
M235	G2
M236	G2
M237	G2
M238	G2
M239	G2
M240	G2
M241	G2
M242	G2
M243	G2
M244	G2
M245	G2
M246	G2
M247	G2
M248	G2
M249	G2
M250	G2
M251	G2
M252	G2
M253	G2
M254	G2
M255	G2
M256	G2
M257	G2
M258	G2
M259	G2
M260	G2
M261	G2
M262	G2
M263	G2
M264	G2
M265	G2
M266	G2
M267	G2
M268	G2
M269	G2
M270	G2
M271	G2
M272	G2
M273	G2
M274	G2
M275	G2
M276	G2
M277	G2
M278	G2
M279	G2
M280	G2
M281	G2
M282	G2
M283	G2
M284	G2
M285	G2
M286	G2
M287	G2
M288	G2
M289	G2
M290	G2
M291	G2
M292	G2
M293	G2
M294	G2
M295	G2
M296	G2
M297	G2
M298	G2
M299	G2
M300	G2
M301	G2
M302	G2
M303	G2
M304	G2
M305	G2
M306	G2
M307	G3
M308	G3
M309	G3
M310	G3
M311	G3
M312	G3
M313	G3
M314	G3
M315	G3
M316	G3
M317	G3
M318	G3
M319	G3
M320	G3
M321	G3
M322	G3
M323	G3
M324	G3
M325	G3
M326	G3
M327	G3
M328	G3
M329	G3
M330	G3
M331	G3
M332	G3
M333	G3
M334	G3
M335	G3
M336	G3
M337	G3
M338	G3
M339	G3
M340	G3
M341	G3
M342	G3
M343	G3
M344	G3
M345	G3
M346	G3
M347	G3
M348	G3
M349	G3
M350	G3
M351	G3
M352	G3
M353	G3
M354	G3
M355	G3
M356	G3
M357	G3
M358	G3
M359	G3
M360	G3
M361	G3
M362	G3
M363	G3
M364	G3
M365	G3
M366	G3
M367	G3
M368	G3
M369	G3
M370	G3
M371	G3
M372	G3
M373	G3
M374	G3
M375	G3
M376	G3
M377	G3
M378	G3
M379	G3
M380	G3
M381	G3
M382	G3
M383	G3
M384	G3
M385	G3
M386	G3
M387	G3
M388	G3
M389	G3
M390	G3
M391	G3
M392	G3
M393	G3
M394	G3
M395	G3
M396	G3
M397	G3
M398	G3
M399	G3
M400	G3
M401	G3
M402	G3
M403	G3
M404	G3
M405	G3
M406	G3
M407	G3
M408	G3
M409	G3
M410	G3
M411	G3
M412	G3
M413	G3
M414	G3
M415	G3
M416	G3
M417	G3
M418	G3
M419	G3
M420	G3
M421	G3
M422	G3
M423	G3
M424	G3
M425	G3
M426	G3
M427	G3
M428	G3
