Gene	Value
A1BG	-0.265187696248284
A1BG-AS1	-0.139791676762467
A1CF	-0.00478291004350964
A2M	0.119416534453936
A2M-AS1	-0.0223511320716783
A2ML1	0.213621548853782
A4GALT	-0.0259349246311248
A4GNT	0.0324153369984698
AAAS	-0.334200826161464
AACS	-0.0731978876917178
AACSP1	-0.0552212018496187
AADAC	0.120203033803009
AADACL2	0.0169959001968795
AADACL3	-0.00275706590129767
AADACL4	0.0511871431310314
AADACP1	0.0709933732620552
AADAT	0.0720944549362765
AAGAB	-0.0327809256641758
AAK1	0.292996425466617
AAMDC	-0.21092419234907
AAMP	-0.247499104619846
AANAT	-0.14937331122034
AAR2	-0.0209478249756621
AARD	0.040269554304842
AARS2	-0.172522330797994
AARSD1	-0.300122655924335
AASDH	0.223319508378256
AASDHPPT	0.242786761131057
AASS	-0.0192547011554729
AATBC	0.00589918596882355
AATF	-0.174696640245157
AATK	-0.26544649946468
ABAT	-0.0303470875077677
ABCA1	0.297792949340529
ABCA10	0.0185896452425193
ABCA11P	0.0526946400932422
ABCA12	0.218075896612186
ABCA13	0.0547318015827649
ABCA17P	-0.12473569520601
ABCA2	-0.156203155389535
ABCA3	-0.203533782033929
ABCA4	0.0921304997353653
ABCA5	-0.0789925761771853
ABCA6	0.214146592189099
ABCA7	-0.166373673186356
ABCA8	0.106183611837058
ABCA9	0.174380299095432
ABCB1	0.136810698206335
ABCB10	0.150974811474299
ABCB11	0.147005175765515
ABCB4	0.0360792921891033
ABCB5	0.0945073994179299
ABCB6	-0.123129766673737
ABCB7	0.129434324851809
ABCB8	-0.275203656441789
ABCB9	-0.100472593929266
ABCC1	0.132744578526699
ABCC10	-0.0923088185873027
ABCC11	0.149144198415021
ABCC12	0.0869915205186185
ABCC13	-0.0179073102279094
ABCC2	0.191494349829533
ABCC3	0.0579102087715709
ABCC4	0.266321463375338
ABCC5	-0.0247430106816769
ABCC6	0.115790318605629
ABCC6P1	0.189042001578174
ABCC6P2	0.155363804059772
ABCC8	-0.0364192795397942
ABCC9	0.254086677306796
ABCD1	-0.133838405728983
ABCD2	0.189757033201322
ABCD3	0.0496799779473894
ABCD4	-0.120795408621299
ABCE1	0.222182690008233
ABCF1	-0.0349265292405582
ABCF2	-0.0894466854931286
ABCF3	-0.273885719965659
ABCG1	-0.0296827819234485
ABCG2	0.124605749862002
ABCG4	0.0237331216100059
ABCG5	-0.0340452749700029
ABCG8	-0.00929163353079576
ABHD1	-0.183234337082777
ABHD10	-0.126266295470867
ABHD11	-0.0789765551271305
ABHD11-AS1	-0.100478405283927
ABHD12	-0.19004382347724
ABHD12B	0.0199880985197772
ABHD13	0.222848027898445
ABHD14A	-0.309635074829889
ABHD14B	-0.0867844594011312
ABHD15	-0.00572390556985055
ABHD16A	-0.214948009348468
ABHD16B	-0.302117610244721
ABHD17A	-0.305019380556963
ABHD17B	0.282791377213009
ABHD17C	-0.0694999823065216
ABHD18	0.167953090725859
ABHD2	0.016589035498077
ABHD3	0.10791017483185
ABHD4	0.0774299512944757
ABHD5	0.20767740078523
ABHD6	0.124013440110311
ABHD8	-0.368244547760332
ABI1	0.338203564255387
ABI2	-0.0113419567814804
ABI3	-0.0612775232195908
ABI3BP	0.169397666669747
ABITRAM	0.0408520367672725
