gene	log2FC	pvalue
SYAP1	-0.10422094	0.248008472
MAP3K3	-0.481959361	0.000998124
GPD2	-0.545360274	0.000161695
CHSY1	0.07669176	0.555020623
ZNF70	0.487435667	0.025888765
ERG	-0.476654996	0.571771094
SPATA13	0.545357148	3.17E-05
LOC101929340	-0.813251534	0.581677513
MED30	-0.396085703	0.041841199
TP53TG3D	0.824780331	0.271578995
LINC00664	2.325507514	0.102199721
SYNPO	0.261250459	0.028055352
ANKRD44	0.109510892	0.582015847
DNAH12	0.391148607	0.694834208
LOC107985092	-0.801265256	0.206426369
MIR570	0.102593988	0.85157489
GSPT2	0.119624583	0.347797921
NLGN4Y-AS1	-0.816536045	0.576727104
PCDHGC3	-0.01190936	0.887753572
ESF1	-0.133842817	0.253497222
NSMCE3	0.137124877	0.267185561
CERS4	0.464542661	0.007881605
TARBP1	0.31371492	0.044723435
TRIM36	-0.258386156	0.877208598
ARNT	-0.032200791	0.706549794
EFNB2	-0.498756199	0.176918422
PREX2	1.049796231	0.008165969
CLN3	-0.737035677	0.126366516
MMP23A	0.290970215	0.053443554
COX8A	-0.202634679	0.105368422
UCHL3	0.134087679	0.775076073
ANK2	1.016805681	6.05E-13
GPR153	0.899476919	2.24E-16
SETD9	0.302171679	0.236467759
BACH1	-0.087765525	0.493956752
NUDT3	-0.393573596	0.006220322
FAM111B	0.872192604	0.161212464
NAPSA	0.045894924	0.940061204
ITPA	-0.303351845	0.010066192
CRMP1	0.264149033	0.032605373
ZNF35	-0.034537175	0.855008737
CDKL4	-0.838972801	0.258281267
ZBTB38	-0.035450494	0.648665363
BNIP2	-0.282568366	0.002979191
SPAG1	-0.039909886	0.892597442
GPR137B	-0.536205274	7.28E-05
ANPEP	-1.062719865	3.28E-20
MIR17HG	-0.761692047	0.263590044
ZFR	-0.163472658	0.033929665
SPIN3	0.13368367	0.503363181
ZNF764	0.199439732	0.422160253
REXO1	-0.338354315	0.007211692
ARMC2	-0.599788495	0.016553945
LINC02158	-2.409856432	0.162322495
ZNF202	-0.056457366	0.746496137
PLEKHO2	0.004384605	0.964870612
FUBP3	-0.060729438	0.488064975
XRRA1	0.642791987	0.000100022
CAPNS1	-0.161129399	0.047872569
ZC2HC1C	1.238253772	0.00071779
SYPL1	-0.279915175	0.008835245
ENTPD1-AS1	0.346203968	0.339571366
MFAP3L	-0.66323968	0.059817585
C12orf73	-0.169846863	0.478686589
HASPIN	-0.685827966	0.246543902
TMEM11	-0.385715118	0.004276009
LRRC37B	0.013253839	0.934582733
ABCC9	-1.057149662	1.03E-26
NPEPPS	0.028781426	0.793833929
ADGRV1	1.134102801	0.490293471
CNOT7	0.052688021	0.561867642
PPDPF	0.058557976	0.533722722
RUSC2	0.125749263	0.286528198
ZNF814	0.237786724	0.182672728
PKDCC	-1.558130111	6.34E-20
SNX7	0.14409437	0.146459575
LOC641367	0.243161843	0.838391578
MASP1	0.228475043	0.006595037
ARL6	0.279370375	0.163473819
EIF4E3	-0.101905776	0.426116679
VEZF1	-0.167637025	0.075826823
AHSA1	-0.14987648	0.125371927
TAS2R31	0.574398218	0.547726971
TAF5L	-0.430831557	0.000467869
BACE1	0.008253143	0.935664878
KCTD12	2.528171204	1.94E-78
NUTM2E	0.04920991	0.788222877
SLC35A1	0.02976614	0.854424707
MRPL21	-0.050807202	0.688351909
SUN2	-1.859066595	2.43E-51
LIG3	0.392552077	0.021734012
LINC01504	-2.054076248	0.411123126
CIDECP1	0.161762652	0.353557367
DGKH	-0.797295061	5.42E-13
TXNDC12	-0.166590458	0.073178521
ZZEF1	-0.091837751	0.311985123
STYX	-0.171974993	0.151657283
TFDP2	0.293768605	0.00881579
SCMH1	0.004689822	0.963129015
