word	freq
oil	85
said	73
prices	48
opec	42
mln	31
the	26
last	24
bpd	23
dlrs	23
crude	21
market	20
reuter	20
saudi	18
will	18
one	17
barrel	15
kuwait	14
new	14
official	14
pct	14
price	13
barrels	11
government	11
production	11
sheikh	11
industry	10
meeting	10
minister	10
world	10
also	9
billion	9
futures	9
month	9
output	9
petroleum	9
quota	9
sources	9
accord	8
analysts	8
but	8
group	8
gulf	8
january	8
markets	8
report	8
today	8
december	7
demand	7
economic	7
economy	7
energy	7
help	7
international	7
may	7
nazer	7
nymex	7
posted	7
present	7
they	7
traders	7
158	6
ability	6
agreement	6
ali	6
april	6
arabia	6
budget	6
emergency	6
exchange	6
hold	6
imports	6
members	6
recent	6
riyals	6
says	6
sell	6
years	6
abdulaziz	5
agency	5
arab	5
ceiling	5
company	5
contract	5
daily	5
emirates	5
expected	5
expenditure	5
exports	5
growth	5
now	5
opecs	5
plans	5
qatar	5
quoted	5
research	5
reserve	5
reserves	5
states	5
study	5
united	5
way	5
week	5
west	5
year	5
150	4
according	4
added	4
among	4
asked	4
brings	4
buyers	4
can	4
change	4
corp	4
cut	4
day	4
development	4
effective	4
exploration	4
fall	4
february	4
fell	4
free	4
higher	4
increase	4
levels	4
meet	4
must	4
never	4
per	4
policy	4
power	4
problem	4
producing	4
protect	4
pumping	4
reduced	4
revenue	4
revenues	4
rise	4
saying	4
set	4
since	4
spa	4
strategic	4
texas	4
this	4
total	4
transaction	4
weak	4
yesterday	4
