category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0007507	heart development	54	DLC1	-0.970787511	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	NRP2	-1.515317303	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	NRP1	-1.141231543	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	EDN1	1.381300593	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	PDLIM3	-0.887693887	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	GJA1	-0.81794802	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	TTN	-0.663359973	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	GJA5	-2.454250023	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	ZIC3	3.953962077	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	TGFB2	2.303174833	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	CERKL	0.862400057	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	GATA6	-0.868098097	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	COL4A3BP	1.397117463	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	GAB1	0.879589395	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	SEMA3C	5.515629833	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	MKL2	1.187109212	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	SLC22A5	0.503290817	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	MB	-1.717123668	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	PTPRJ	2.070382665	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	RXRA	-0.370907151	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	VANGL2	0.522056899	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	MYH6	-1.608701091	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	TNNT2	-4.296939333	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	HHEX	0.827735579	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	MURC	1.60125077	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	MIB1	-0.289969767	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	FOXC2	-0.84021201	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	FOXC1	2.02292565	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	ADAM19	-1.215412291	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	MYL2	-4.45152649	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	TCAP	-0.752053437	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	EGLN1	-0.512868557	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	SOX9	0.436015926	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	ITGB1	-0.320847591	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	CHD7	-0.820282624	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	HEXIM1	0.433091644	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	PKD2	-0.684857057	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	NFATC4	0.57941421	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	PCSK5	-0.917959533	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	ACTC1	-3.407986328	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	TGFBR2	0.998477288	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	NF1	-0.701186185	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	HSPG2	-1.853688857	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	SMAD3	0.888539627	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	TBX1	1.570582556	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	TNNI3	-1.580400127	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	CSRP3	-0.913555936	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	FOXP1	0.904013	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	KCNJ8	-0.685065753	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	PLN	-2.073402748	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	TSC2	0.484905079	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	ATP6V0A1	0.984753306	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	TGFBR3	1.21053663	2.17e-06	-0.816496580927726
BP	GO:0007507	heart development	54	HDAC9	-1.115358696	2.17e-06	-0.816496580927726
BP	GO:0001944	vasculature development	56	GNA13	0.371159948	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	ACVRL1	0.509690293	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	NRP1	-1.141231543	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	PGF	-0.297338013	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	IL18	0.887710586	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	LEPR	2.65397884	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	EDN1	1.381300593	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	GJA1	-0.81794802	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	FOXO1	0.568710633	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	GJA5	-2.454250023	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	TGFB2	2.303174833	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	WARS	-1.150233253	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	CERKL	0.862400057	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	APOE	0.869834598	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	CXCR4	-2.56475368	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	ANG	1.78593955	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	SEMA3C	5.515629833	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	NOS2	-0.716746818	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	MKL2	1.187109212	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	FGF2	-0.585969297	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	RAPGEF1	-0.869591863	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	PTPRJ	2.070382665	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	RECK	3.692685987	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	EFNB2	-1.000709547	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	VASH1	-0.65998106	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	PNPLA6	0.890683813	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	THY1	-0.553856214	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	MIB1	-0.289969767	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	NUS1	-1.081247657	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	FOXC2	-0.84021201	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	FOXC1	2.02292565	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	CAV1	-0.956726373	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	CDH2	1.283265268	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	MEIS1	-1.174647163	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	WT1	-2.457895104	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	CDH5	-0.51477973	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	PTK2	-0.652790383	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	FBXW8	0.260635854	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	CHD7	-0.820282624	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	PLCD1	-0.547486781	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	PLXND1	-1.48317114	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	FIGF	2.539227993	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	PPAP2B	-2.522822513	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	MAP2K1	-0.462879817	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	TBX4	1.323461845	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	TGFBR2	0.998477288	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	NF1	-0.701186185	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	TBX1	1.570582556	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	TNNI3	-1.580400127	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	LAMA4	-1.284668	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	MEOX2	-4.544633582	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	ECSCR	-1.12191613	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	HBEGF	1.136809987	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	AMOT	1.08778812	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	TGFBR3	1.21053663	1.04e-05	-0.801783725737273
BP	GO:0001944	vasculature development	56	HDAC7	-0.499878415	1.04e-05	-0.801783725737273
BP	GO:0001568	blood vessel development	55	GNA13	0.371159948	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	ACVRL1	0.509690293	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	NRP1	-1.141231543	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	PGF	-0.297338013	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	IL18	0.887710586	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	LEPR	2.65397884	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	EDN1	1.381300593	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	GJA1	-0.81794802	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	FOXO1	0.568710633	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	GJA5	-2.454250023	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	TGFB2	2.303174833	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	WARS	-1.150233253	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	CERKL	0.862400057	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	APOE	0.869834598	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	CXCR4	-2.56475368	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	ANG	1.78593955	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	SEMA3C	5.515629833	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	NOS2	-0.716746818	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	MKL2	1.187109212	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	FGF2	-0.585969297	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	RAPGEF1	-0.869591863	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	PTPRJ	2.070382665	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	RECK	3.692685987	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	VASH1	-0.65998106	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	PNPLA6	0.890683813	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	THY1	-0.553856214	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	MIB1	-0.289969767	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	NUS1	-1.081247657	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	FOXC2	-0.84021201	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	FOXC1	2.02292565	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	CAV1	-0.956726373	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	CDH2	1.283265268	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	MEIS1	-1.174647163	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	WT1	-2.457895104	7.62e-06	-0.674199862463242
BP	GO:0001568	blood vessel development	55	CDH5	-0.51477973	7.62e-06	-0.674199862463242
