category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0007507	heart development	54	DLC1	-0.970787511	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	NRP2	-1.515317303	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	NRP1	-1.141231543	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	EDN1	1.381300593	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	PDLIM3	-0.887693887	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	GJA1	-0.81794802	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	TTN	-0.663359973	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	GJA5	-2.454250023	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	ZIC3	3.953962077	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	TGFB2	2.303174833	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	CERKL	0.862400057	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	GATA6	-0.868098097	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	COL4A3BP	1.397117463	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	GAB1	0.879589395	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	SEMA3C	5.515629833	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	MKL2	1.187109212	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	SLC22A5	0.503290817	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	MB	-1.717123668	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	PTPRJ	2.070382665	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	RXRA	-0.370907151	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	VANGL2	0.522056899	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	MYH6	-1.608701091	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	TNNT2	-4.296939333	2.17E-06	-0.816496581
BP	GO:0007507	heart development	54	HHEX	0.827735579	2.17E-06	-0.816496581
