index_bin1	index_bin2	freq
135	428	13
365	479	38
209	340	8
216	166	34
288	484	5
162	479	14
481	416	46
8	360	7
107	196	23
320	143	14
163	423	13
119	15	28
107	364	7
332	374	50
306	386	26
210	188	41
403	90	14
98	308	17
424	201	23
434	7	5
237	479	11
97	57	42
315	178	11
80	125	24
190	55	15
59	220	23
42	42	69
54	226	15
497	64	2
35	397	11
475	27	2
453	389	25
3	325	7
291	486	24
452	325	31
486	410	17
104	421	9
442	309	21
387	494	58
401	315	35
331	240	15
286	77	3
25	198	8
335	302	53
325	113	12
302	376	14
449	226	10
453	162	9
498	140	9
234	473	13
466	234	13
453	41	12
16	286	4
420	491	56
386	457	26
467	337	26
309	220	21
393	486	65
312	133	2
401	337	38
424	445	52
107	351	8
197	305	10
119	35	25
378	292	4
231	115	14
194	141	48
44	43	69
498	23	2
365	105	17
201	432	13
27	16	11
461	430	48
114	401	13
198	340	14
430	161	10
427	229	12
117	45	15
307	346	50
188	128	37
118	200	23
312	300	63
51	404	16
308	227	30
48	43	69
141	32	15
116	25	19
451	35	7
311	342	33
487	144	4
469	405	19
451	333	38
123	338	9
18	66	69
112	357	8
73	91	69
323	350	67
7	446	3
104	461	12
297	299	37
136	232	29
428	9	10
181	426	22
61	477	10
233	132	33
343	120	12
464	469	69
82	178	19
216	438	13
320	102	11
168	17	6
109	68	43
1	136	1
434	136	12
45	193	3
229	454	12
7	379	3
314	75	9
154	306	12
101	304	6
473	23	13
319	133	9
363	381	49
422	198	9
395	41	9
422	215	14
452	45	9
93	196	19
341	78	2
447	353	34
91	436	10
299	499	10
73	292	16
397	234	17
195	34	14
203	229	49
359	201	20
461	297	3
335	52	11
56	156	12
136	394	7
76	150	27
24	446	6
463	319	25
474	217	11
494	120	13
298	176	5
179	456	13
2	139	6
311	234	15
195	42	4
334	333	69
210	107	8
429	108	10
332	21	5
16	81	52
452	8	5
122	38	27
191	332	17
331	486	24
168	400	6
294	220	18
60	26	43
172	455	17
431	55	7
466	54	10
365	211	5
384	206	18
86	3	29
498	185	3
226	448	7
390	369	29
42	480	4
71	392	9
54	182	20
113	224	25
215	359	11
31	499	3
203	133	42
436	306	25
104	128	69
426	222	18
128	20	18
112	119	69
353	313	32
170	12	12
452	466	69
82	340	13
317	316	69
342	475	27
199	123	32
62	64	69
179	439	13
220	102	22
417	94	12
94	24	53
19	209	4
179	204	69
117	492	12
484	14	10
378	169	8
237	65	9
301	51	11
449	224	11
422	73	10
464	71	12
477	154	11
292	94	9
68	194	13
446	193	10
288	134	3
9	330	4
306	367	28
482	125	11
3	289	3
140	242	7
160	91	15
404	33	30
374	189	9
306	71	11
122	7	13
98	30	56
76	379	6
67	218	9
321	20	15
78	37	69
401	325	39
54	346	3
242	427	6
162	99	28
205	188	64
239	243	69
207	106	8
309	238	11
95	84	69
469	335	19
104	394	8
473	340	27
30	485	16
457	197	11
175	95	23
450	361	41
231	463	9
146	444	17
337	10	5
194	115	23
57	301	30
363	434	32
330	81	8
447	138	9
220	325	12
309	464	29
442	346	36
213	387	16
45	201	10
46	477	9
57	422	6
117	118	69
481	417	30
47	99	26
112	117	69
197	85	19
459	57	11
292	187	10
317	353	48
345	208	4
295	158	8
116	349	10
455	54	16
326	35	10
430	150	23
442	215	20
383	481	64
163	122	39
326	52	6
138	437	13
34	119	40
165	333	6
124	202	29
122	46	19
448	26	5
19	372	12
72	170	23
305	195	10
307	240	17
22	320	11
473	420	61
420	373	55
63	353	11
150	446	9
198	98	28
427	125	24
227	340	15
104	178	28
390	27	1
453	486	20
69	2	19
394	363	43
19	420	12
447	202	12
165	302	17
231	329	14
217	318	19
148	477	14
125	121	69
52	74	68
25	414	19
435	301	25
389	474	26
383	76	4
92	17	32
141	66	12
89	100	36
342	388	37
456	342	21
180	63	9
162	231	26
303	338	38
143	218	19
382	47	3
321	403	49
496	473	45
450	205	16
445	447	69
43	158	11
295	5	6
150	382	10
148	88	14
315	345	46
2	359	3
194	469	11
22	28	42
295	83	14
144	330	8
34	124	39
408	84	19
308	6	6
325	65	9
54	463	8
426	223	9
208	90	4
71	421	11
310	457	26
481	393	60
356	462	25
332	486	22
65	150	12
457	327	30
415	421	69
53	434	2
196	434	14
50	426	9
475	354	33
79	432	5
289	207	3
218	218	69
243	316	46
319	349	64
50	98	22
324	461	27
486	468	56
202	444	12
388	396	69
416	385	27
238	451	21
64	394	9
93	466	13
140	226	23
210	129	18
326	128	9
9	212	11
290	397	23
57	205	8
386	318	57
41	297	1
157	296	6
24	121	14
232	143	46
72	440	5
21	175	24
187	292	10
443	127	13
373	167	15
84	120	48
95	6	27
144	456	5
422	428	69
196	160	62
301	80	26
162	393	18
199	290	12
369	162	11
428	401	69
193	426	4
85	347	14
91	64	46
161	197	52
137	462	13
302	199	8
482	175	8
482	19	3
53	57	69
124	128	69
31	124	32
403	344	44
382	121	7
43	436	4
207	52	5
395	492	43
9	195	7
241	458	9
138	83	30
166	169	69
163	166	69
447	234	9
320	366	49
479	457	31
306	24	5
69	207	12
90	218	9
181	450	25
483	499	16
341	96	10
141	493	9
480	102	13
109	13	41
373	16	14
39	241	16
189	67	23
360	418	28
480	341	17
221	38	5
484	411	31
220	469	12
36	448	4
368	453	40
171	175	69
442	36	6
321	241	10
495	117	7
134	399	10
366	39	11
24	455	5
142	150	69
132	432	11
97	184	24
30	213	14
415	178	17
10	99	58
134	29	34
195	436	11
11	346	4
149	360	7
433	299	18
363	373	69
188	311	10
416	483	29
487	77	9
309	412	34
132	49	21
287	456	1
140	453	4
476	174	10
34	132	39
369	415	28
209	353	10
39	388	7
293	161	1
59	126	22
333	356	69
28	174	9
18	208	9
296	302	48
107	73	69
190	165	69
70	311	7
6	484	4
376	456	29
394	422	69
216	336	13
101	414	4
345	494	28
49	338	8
130	170	38
303	230	14
171	120	32
145	93	28
398	28	6
12	118	27
414	467	30
131	243	28
47	461	14
357	397	53
28	294	3
486	98	10
465	412	27
371	445	46
34	421	10
437	449	69
487	176	7
389	40	4
438	156	14
330	154	20
130	386	11
135	171	66
287	469	7
142	130	69
343	384	38
402	57	18
207	340	10
48	141	12
74	488	6
427	377	44
468	145	15
416	58	13
299	153	7
471	411	48
452	243	22
47	198	10
290	166	13
34	328	4
474	317	11
185	21	16
203	374	17
377	138	10
239	170	26
482	44	3
18	35	68
129	118	69
385	471	24
369	166	10
311	373	24
132	319	9
360	96	12
342	216	12
484	394	44
28	129	19
143	62	24
476	341	22
334	147	12
44	404	12
495	418	29
242	72	14
356	493	31
83	180	17
359	23	8
139	352	10
212	216	69
83	299	7
383	172	15
436	289	8
478	304	14
398	459	28
455	427	60
290	51	16
194	444	7
308	95	20
95	223	20
12	135	18
93	374	8
26	431	7
79	470	14
418	371	37
231	309	21
84	228	20
305	435	19
376	309	14
330	387	51
440	10	4
395	497	60
413	110	7
494	63	4
71	215	16
440	396	69
62	91	19
184	436	14
40	29	69
206	127	20
217	449	11
60	306	7
340	322	66
69	167	25
