Experiment	Time	Subject	Genotype	PI	Time2
e1	t100	s1	WT	20.4712	100
e2	t100	s2	WT	28.88967	100
e3	t100	s3	WT	11.55061	100
e4	t100	s4	WT	23.24516	100
e5	t100	s5	WT	30.20904	100
e6	t100	s6	WT	28.683	100
e1	t100	s7	KO	9.340923	100
e2	t100	s8	KO	7.600166	100
e3	t100	s9	KO	5.483234	100
e4	t100	s10	KO	8.260629	100
e5	t100	s11	KO	6.983286	100
e6	t100	s12	KO	3.872678	100
e1	t300	s1	WT	38.14251	300
e2	t300	s2	WT	38.10213	300
e3	t300	s3	WT	23.16938	300
e4	t300	s4	WT	32.18743	300
e5	t300	s5	WT	44.01176	300
e6	t300	s6	WT	48.81051	300
e1	t300	s7	KO	13.409	300
e2	t300	s8	KO	9.765893	300
e3	t300	s9	KO	7.828131	300
e4	t300	s10	KO	10.18009	300
e5	t300	s11	KO	12.62895	300
e6	t300	s12	KO	7.344305	300
