region	value
Sudan	258
Angola	911
Benin	318
Botswana	759
Burkina Faso	983
Cameroon	618
Cape Verde	477
Central African Republic	698
Chad	336
Comoros	764
Congo	76
Cote d'Ivoire	922
Democratic Republic of the Congo	174
Djibouti	985
South Sudan	962
Equatorial Guinea	455
Eritrea	730
Ethiopia	393
Gabon	648
Gambia	525
Ghana	608
Guinea-Bissau	69
Guinea	900
Kenya	115
Lesotho	577
Liberia	747
Madagascar	722
Malawi	68
Mali	886
Mauritania	826
Mauritius	239
Mozambique	102
Namibia	178
Niger	814
Nigeria	308
Senegal	241
Seychelles	687
Sierra Leone	144
Somalia	11
South Africa	775
Burundi	307
Swaziland	667
Togo	433
Uganda	372
United Republic of Tanzania	118
Zambia	237
Zimbabwe	9
Algeria	323
Abyei	76
Libya	871
Morocco	379
Rwanda	570
Sao Tome and Principe	381
Tunisia	449
Western Sahara	126
Hala'ib triangle	768
Ma'tan al-Sarra	782
Egypt	850
Ilemi triangle	644
