region	value
Aruba (Netherlands)	48
Antigua and Barbuda	749
Argentina	667
Anguilla (UK)	14
Barbados	83
Bermuda (UK)	109
Bahamas	365
Belize	832
Bolivia	100
Brazil	813
Canada	366
Chile	51
Cayman Islands (UK)	252
Colombia	707
Costa Rica	981
Cuba	69
Dominica	84
Dominican Republic	281
Ecuador	938
El Salvador	567
French Guiana (France)	913
Falkland Islands (UK)	238
Grenada	402
Greenland (Denmark)	29
Guadeloupe (France)	832
Guatemala	959
Guyana	785
Haiti	777
Honduras	264
Jamaica	432
Martinique (France)	172
Montserrat (UK)	945
Mexico	150
Suriname	560
Nicaragua	252
Paraguay	424
Peru	519
Panama	328
Puerto Rico (US)	248
St. Pierre and Miquelon (France)	567
St. Kitts and Nevis	866
St. Lucia	682
South Georgia and the South Sandwich Is (UK)	445
Trinidad and Tobago	821
Turks and Caicos Islands (UK)	766
Uruguay	209
St. Vincent and the Grenadines	346
Venezuela	396
British Virgin Islands(UK)	569
American Virgin Islands (US)	589
Curacao (Netherlands)	395
Bonaire (Netherlands)	278
United States	351
