name	value
东城区	739
西城区	536
朝阳区	138
丰台区	561
石景山区	345
海淀区	898
门头沟区	12
房山区	799
通州区	869
顺义区	941
昌平区	584
大兴区	66
怀柔区	896
平谷区	667
密云区	150
延庆区	976
和平区	359
河东区	541
河西区	751
南开区	965
河北区	101
红桥区	648
东丽区	41
西青区	312
津南区	839
北辰区	288
武清区	139
宝坻区	33
滨海新区	613
宁河区	597
静海区	669
蓟州区	600
长安区	750
桥西区	1000
新华区	560
井陉矿区	400
裕华区	972
藁城区	950
鹿泉区	456
栾城区	147
井陉县	674
正定县	390
行唐县	380
灵寿县	796
高邑县	940
深泽县	61
赞皇县	268
无极县	719
平山县	912
元氏县	112
赵县	914
辛集市	99
晋州市	989
新乐市	770
路南区	77
路北区	384
古冶区	126
开平区	284
丰南区	550
丰润区	346
曹妃甸区	430
滦南县	739
乐亭县	155
迁西县	91
玉田县	460
遵化市	14
迁安市	96
滦州市	93
海港区	786
山海关区	706
北戴河区	832
抚宁区	254
青龙满族自治县	621
昌黎县	671
卢龙县	743
邯山区	386
丛台区	673
复兴区	558
峰峰矿区	465
肥乡区	494
永年区	356
临漳县	15
成安县	923
大名县	415
涉县	935
磁县	765
邱县	486
鸡泽县	266
广平县	716
馆陶县	280
魏县	897
曲周县	627
武安市	498
桥东区	578
邢台县	834
临城县	701
内丘县	722
柏乡县	788
隆尧县	490
任县	174
南和县	219
宁晋县	550
巨鹿县	756
新河县	595
广宗县	27
平乡县	400
威县	156
清河县	976
临西县	500
南宫市	754
沙河市	867
竞秀区	280
莲池区	265
满城区	131
清苑区	68
徐水区	110
涞水县	129
阜平县	168
定兴县	296
唐县	461
高阳县	868
容城县	567
涞源县	751
望都县	871
安新县	538
易县	352
曲阳县	34
蠡县	338
顺平县	324
博野县	5
雄县	303
涿州市	501
定州市	537
安国市	193
高碑店市	483
宣化区	221
下花园区	837
万全区	897
崇礼区	550
张北县	143
康保县	373
沽源县	169
尚义县	932
蔚县	770
阳原县	312
怀安县	236
怀来县	58
涿鹿县	71
赤城县	443
双桥区	519
双滦区	258
鹰手营子矿区	580
承德县	202
兴隆县	635
滦平县	312
隆化县	672
丰宁满族自治县	75
宽城满族自治县	938
围场满族蒙古族自治县	725
平泉市	498
运河区	764
沧县	717
青县	573
东光县	714
海兴县	249
盐山县	574
肃宁县	3
南皮县	215
吴桥县	466
献县	432
孟村回族自治县	562
泊头市	48
任丘市	563
黄骅市	949
河间市	219
安次区	909
广阳区	199
固安县	620
永清县	361
香河县	512
大城县	713
文安县	485
大厂回族自治县	597
霸州市	358
三河市	117
桃城区	777
冀州区	644
枣强县	880
武邑县	178
武强县	800
饶阳县	264
安平县	86
故城县	453
景县	972
阜城县	174
深州市	812
小店区	769
迎泽区	132
杏花岭区	440
尖草坪区	32
万柏林区	749
晋源区	713
清徐县	48
阳曲县	224
娄烦县	739
古交市	468
新荣区	109
平城区	616
云冈区	71
云州区	504
阳高县	891
天镇县	571
广灵县	945
灵丘县	243
浑源县	619
左云县	111
城区	134
矿区	292
郊区	831
平定县	140
盂县	396
潞州区	674
上党区	613
屯留区	908
潞城区	680
襄垣县	69
平顺县	130
黎城县	414
壶关县	705
长子县	951
武乡县	421
沁县	149
沁源县	772
沁水县	661
阳城县	712
陵川县	454
泽州县	85
高平市	176
朔城区	303
平鲁区	517
山阴县	775
应县	7
右玉县	37
怀仁市	328
榆次区	876
太谷区	233
榆社县	34
左权县	613
和顺县	97
昔阳县	891
寿阳县	915
祁县	160
平遥县	741
灵石县	922
介休市	512
盐湖区	367
临猗县	944
万荣县	843
闻喜县	252
稷山县	746
新绛县	938
绛县	64
垣曲县	575
夏县	924
平陆县	723
芮城县	40
永济市	373
河津市	614
忻府区	359
定襄县	764
五台县	347
代县	867
繁峙县	92
宁武县	847
静乐县	699
神池县	540
五寨县	142
岢岚县	142
河曲县	690
保德县	38
偏关县	779
原平市	634
尧都区	658
曲沃县	818
翼城县	802
襄汾县	44
洪洞县	801
古县	85
安泽县	838
浮山县	107
吉县	275
乡宁县	803
大宁县	720
隰县	611
永和县	566
蒲县	206
汾西县	639
侯马市	85
霍州市	602
离石区	55
文水县	580
交城县	949
兴县	809
临县	631
柳林县	590
石楼县	380
岚县	883
方山县	621
中阳县	480
交口县	415
孝义市	572
汾阳市	237
新城区	339
回民区	797
玉泉区	143
赛罕区	165
土默特左旗	783
托克托县	551
和林格尔县	342
清水河县	975
武川县	378
东河区	927
昆都仑区	304
青山区	516
石拐区	524
白云鄂博矿区	530
九原区	302
土默特右旗	713
固阳县	23
达尔罕茂明安联合旗	501
海勃湾区	10
海南区	700
乌达区	917
红山区	693
元宝山区	342
松山区	403
阿鲁科尔沁旗	333
巴林左旗	530
巴林右旗	655
林西县	124
克什克腾旗	103
翁牛特旗	461
喀喇沁旗	577
宁城县	869
敖汉旗	237
科尔沁区	596
科尔沁左翼中旗	204
科尔沁左翼后旗	941
开鲁县	204
库伦旗	145
奈曼旗	86
扎鲁特旗	682
霍林郭勒市	433
东胜区	363
康巴什区	371
达拉特旗	870
准格尔旗	70
鄂托克前旗	898
鄂托克旗	759
杭锦旗	885
乌审旗	441
伊金霍洛旗	530
海拉尔区	245
扎赉诺尔区	328
阿荣旗	736
莫力达瓦达斡尔族自治旗	870
鄂伦春自治旗	158
鄂温克族自治旗	884
陈巴尔虎旗	634
新巴尔虎左旗	532
新巴尔虎右旗	681
满洲里市	380
牙克石市	302
扎兰屯市	81
额尔古纳市	491
根河市	666
临河区	749
五原县	939
磴口县	247
乌拉特前旗	323
乌拉特中旗	678
乌拉特后旗	295
杭锦后旗	197
集宁区	998
卓资县	95
化德县	942
商都县	290
兴和县	232
凉城县	926
察哈尔右翼前旗	948
察哈尔右翼中旗	876
察哈尔右翼后旗	142
四子王旗	129
丰镇市	274
乌兰浩特市	617
阿尔山市	246
科尔沁右翼前旗	559
科尔沁右翼中旗	936
扎赉特旗	872
突泉县	329
二连浩特市	412
锡林浩特市	686
阿巴嘎旗	745
苏尼特左旗	33
苏尼特右旗	504
东乌珠穆沁旗	55
西乌珠穆沁旗	891
太仆寺旗	2
镶黄旗	171
正镶白旗	314
正蓝旗	229
多伦县	987
阿拉善左旗	72
阿拉善右旗	660
额济纳旗	694
中朝共有	570
沈河区	247
大东区	153
皇姑区	449
铁西区	724
苏家屯区	732
浑南区	16
沈北新区	733
于洪区	743
辽中区	344
康平县	499
法库县	516
新民市	629
中山区	619
西岗区	197
沙河口区	82
甘井子区	845
旅顺口区	70
金州区	549
普兰店区	151
长海县	995
瓦房店市	388
庄河市	677
铁东区	137
立山区	212
千山区	77
台安县	341
岫岩满族自治县	720
海城市	836
新抚区	473
东洲区	753
望花区	574
顺城区	832
抚顺县	286
新宾满族自治县	66
清原满族自治县	358
平山区	377
溪湖区	794
明山区	41
南芬区	724
本溪满族自治县	601
桓仁满族自治县	576
元宝区	321
振兴区	283
振安区	174
宽甸满族自治县	83
东港市	223
凤城市	909
古塔区	672
凌河区	807
太和区	554
黑山县	587
义县	357
凌海市	435
北镇市	805
站前区	383
西市区	584
鲅鱼圈区	658
老边区	36
盖州市	934
大石桥市	375
海州区	552
新邱区	40
太平区	503
清河门区	181
细河区	621
阜新蒙古族自治县	526
彰武县	758
白塔区	542
文圣区	1000
宏伟区	83
弓长岭区	207
太子河区	74
辽阳县	598
灯塔市	328
双台子区	934
兴隆台区	102
大洼区	310
盘山县	244
银州区	396
清河区	501
铁岭县	3
西丰县	142
昌图县	537
调兵山市	703
开原市	714
双塔区	359
龙城区	436
朝阳县	483
建平县	887
喀喇沁左翼蒙古族自治县	166
北票市	993
凌源市	758
连山区	171
龙港区	844
南票区	518
绥中县	417
建昌县	892
兴城市	773
南关区	831
宽城区	453
二道区	579
绿园区	851
双阳区	376
九台区	657
农安县	138
榆树市	168
德惠市	689
昌邑区	105
龙潭区	952
船营区	322
丰满区	508
永吉县	978
蛟河市	578
桦甸市	949
舒兰市	67
磐石市	293
梨树县	394
伊通满族自治县	892
公主岭市	817
双辽市	740
龙山区	8
西安区	868
东丰县	592
东辽县	441
东昌区	782
二道江区	161
通化县	376
辉南县	211
柳河县	451
梅河口市	447
集安市	237
浑江区	403
江源区	623
抚松县	730
靖宇县	348
长白朝鲜族自治县	866
临江市	985
宁江区	274
前郭尔罗斯蒙古族自治县	742
长岭县	710
乾安县	615
扶余市	383
洮北区	238
镇赉县	627
通榆县	938
洮南市	784
大安市	280
延吉市	71
图们市	521
敦化市	825
珲春市	18
龙井市	344
和龙市	53
汪清县	341
安图县	685
道里区	336
南岗区	676
道外区	918
平房区	919
松北区	496
香坊区	280
呼兰区	828
阿城区	158
双城区	634
依兰县	878
方正县	700
宾县	326
巴彦县	411
木兰县	15
通河县	97
延寿县	392
尚志市	375
五常市	175
龙沙区	324
建华区	624
铁锋区	190
昂昂溪区	339
富拉尔基区	835
碾子山区	995
梅里斯达斡尔族区	64
龙江县	161
依安县	502
泰来县	373
甘南县	169
富裕县	830
克山县	203
克东县	164
拜泉县	677
讷河市	740
鸡冠区	596
恒山区	402
滴道区	77
梨树区	254
城子河区	452
麻山区	803
鸡东县	234
虎林市	267
密山市	119
向阳区	357
工农区	158
南山区	286
兴安区	371
东山区	273
兴山区	382
萝北县	251
绥滨县	457
尖山区	478
岭东区	324
四方台区	145
宝山区	604
集贤县	823
友谊县	207
宝清县	59
饶河县	160
萨尔图区	369
龙凤区	562
让胡路区	803
红岗区	972
大同区	255
肇州县	60
肇源县	853
林甸县	895
杜尔伯特蒙古族自治县	343
伊美区	559
乌翠区	901
友好区	86
嘉荫县	242
汤旺县	960
丰林县	387
大箐山县	107
南岔县	427
金林区	512
铁力市	164
前进区	172
东风区	116
桦南县	833
桦川县	575
汤原县	473
同江市	783
富锦市	321
抚远市	860
新兴区	927
桃山区	355
茄子河区	469
勃利县	838
东安区	22
阳明区	659
爱民区	416
林口县	937
绥芬河市	523
海林市	410
宁安市	525
穆棱市	934
东宁市	45
爱辉区	767
逊克县	776
孙吴县	175
北安市	160
五大连池市	158
嫩江市	395
北林区	52
望奎县	1
兰西县	988
青冈县	395
庆安县	795
明水县	741
绥棱县	829
安达市	676
肇东市	717
海伦市	88
漠河市	908
呼玛县	926
塔河县	694
黄浦区	224
徐汇区	229
长宁区	185
静安区	927
普陀区	251
虹口区	635
杨浦区	5
闵行区	7
嘉定区	639
浦东新区	892
金山区	60
松江区	590
青浦区	207
奉贤区	390
崇明区	759
玄武区	262
秦淮区	956
建邺区	157
鼓楼区	632
浦口区	123
栖霞区	495
雨花台区	173
江宁区	354
六合区	8
溧水区	980
高淳区	909
锡山区	851
惠山区	2
滨湖区	924
梁溪区	732
新吴区	679
江阴市	779
宜兴市	179
云龙区	624
贾汪区	622
泉山区	51
铜山区	768
丰县	67
沛县	328
睢宁县	520
新沂市	282
邳州市	245
天宁区	732
钟楼区	366
新北区	688
武进区	206
金坛区	8
溧阳市	169
虎丘区	586
吴中区	404
相城区	275
姑苏区	788
吴江区	896
常熟市	248
张家港市	669
昆山市	426
太仓市	627
崇川区	395
港闸区	145
如东县	520
启东市	326
如皋市	479
海门市	882
海安市	407
连云区	161
赣榆区	782
东海县	818
灌云县	535
灌南县	198
淮安区	138
淮阴区	753
清江浦区	451
洪泽区	972
涟水县	473
盱眙县	416
金湖县	944
亭湖区	792
盐都区	244
大丰区	336
响水县	361
滨海县	354
阜宁县	948
射阳县	900
建湖县	248
东台市	501
广陵区	165
邗江区	583
江都区	695
宝应县	397
仪征市	444
高邮市	291
京口区	851
润州区	281
丹徒区	227
丹阳市	823
扬中市	841
句容市	667
海陵区	263
高港区	570
姜堰区	250
兴化市	715
靖江市	304
泰兴市	392
宿城区	165
宿豫区	794
沭阳县	243
泗阳县	624
泗洪县	51
上城区	61
下城区	179
江干区	936
拱墅区	951
西湖区	957
滨江区	628
萧山区	315
余杭区	193
富阳区	741
临安区	903
桐庐县	767
淳安县	289
建德市	253
海曙区	799
江北区	902
北仑区	497
镇海区	655
鄞州区	851
奉化区	165
象山县	28
宁海县	634
余姚市	119
慈溪市	364
鹿城区	836
龙湾区	336
瓯海区	924
洞头区	818
永嘉县	793
平阳县	69
苍南县	493
文成县	330
泰顺县	79
瑞安市	553
乐清市	436
龙港市	629
南湖区	34
秀洲区	839
嘉善县	192
海盐县	196
海宁市	991
平湖市	239
桐乡市	254
吴兴区	588
南浔区	151
德清县	985
长兴县	634
安吉县	276
越城区	978
柯桥区	60
上虞区	701
新昌县	334
诸暨市	594
嵊州市	422
婺城区	580
金东区	704
武义县	118
浦江县	598
磐安县	856
兰溪市	237
义乌市	75
东阳市	416
永康市	255
柯城区	771
衢江区	910
常山县	97
开化县	353
龙游县	757
江山市	519
定海区	726
岱山县	402
嵊泗县	930
椒江区	754
黄岩区	666
路桥区	358
三门县	574
天台县	131
仙居县	137
温岭市	688
临海市	354
玉环市	140
莲都区	802
青田县	935
缙云县	370
遂昌县	75
松阳县	17
云和县	613
庆元县	60
景宁畲族自治县	986
龙泉市	181
瑶海区	520
庐阳区	334
蜀山区	771
包河区	373
长丰县	150
肥东县	33
肥西县	217
庐江县	31
巢湖市	235
镜湖区	570
弋江区	212
鸠江区	496
三山区	130
芜湖县	725
繁昌县	286
南陵县	304
无为市	176
龙子湖区	702
蚌山区	81
禹会区	968
淮上区	694
怀远县	837
五河县	176
固镇县	249
大通区	950
田家庵区	833
谢家集区	787
八公山区	479
潘集区	654
凤台县	652
寿县	870
花山区	321
雨山区	213
博望区	469
当涂县	888
含山县	39
和县	896
杜集区	426
相山区	965
烈山区	376
濉溪县	774
铜官区	814
义安区	800
枞阳县	300
迎江区	304
大观区	785
宜秀区	685
怀宁县	831
太湖县	362
宿松县	230
望江县	710
岳西县	819
桐城市	983
潜山市	419
屯溪区	988
黄山区	238
徽州区	898
歙县	90
休宁县	705
黟县	432
祁门县	556
琅琊区	9
南谯区	371
来安县	801
全椒县	783
定远县	905
凤阳县	355
天长市	880
明光市	832
颍州区	948
颍东区	939
颍泉区	612
临泉县	560
太和县	908
阜南县	324
颍上县	907
界首市	498
埇桥区	737
砀山县	546
萧县	556
灵璧县	774
泗县	400
金安区	759
裕安区	837
叶集区	709
霍邱县	719
舒城县	225
金寨县	557
霍山县	494
谯城区	667
涡阳县	884
蒙城县	297
利辛县	708
贵池区	304
东至县	26
石台县	732
青阳县	265
宣州区	14
郎溪县	5
泾县	482
绩溪县	939
旌德县	285
宁国市	197
广德市	590
台江区	974
仓山区	741
马尾区	980
晋安区	486
长乐区	395
闽侯县	119
连江县	709
罗源县	273
闽清县	465
永泰县	252
平潭县	387
福清市	114
思明区	757
海沧区	291
湖里区	628
集美区	679
同安区	285
翔安区	148
城厢区	754
涵江区	784
荔城区	383
秀屿区	324
仙游县	715
梅列区	924
三元区	668
明溪县	486
清流县	156
宁化县	154
大田县	441
尤溪县	772
沙县	616
将乐县	997
泰宁县	178
建宁县	977
永安市	49
鲤城区	577
丰泽区	760
洛江区	223
泉港区	644
惠安县	310
安溪县	530
永春县	274
