name	value
Bischwiller	669
Haguenau	935
Niederbronn-les-Bains	356
Molsheim	199
Rosheim	971
Saales	532
Schirmeck	400
Wasselonne	212
Barr	809
Benfeld	443
Erstein	612
Marckolsheim	914
Obernai	249
Sélestat	965
Villé	158
Bouxwiller	197
Drulingen	482
La Petite-Pierre	776
Marmoutier	848
Sarre-Union	983
Saverne	157
Bischheim	98
Brumath	855
Geispolsheim	109
Hochfelden	617
Illkirch-Graffenstaden	783
Mundolsheim	74
Schiltigheim	343
Truchtersheim	286
Strasbourg	410
Lauterbourg	32
Seltz	689
Soultz-sous-Forêts	660
Wœrth	259
Wissembourg	446
Altkirch	164
Dannemarie	167
Ferrette	753
Hirsingue	828
Andolsheim	701
Colmar-Sud	373
Colmar	558
Munster	99
Neuf-Brisach	699
Wintzenheim	267
Ensisheim	157
Guebwiller	610
Rouffach	229
Soultz-Haut-Rhin	220
Habsheim	371
Huningue	608
Illzach	871
Mulhouse-Sud	136
Mulhouse	80
Sierentz	467
Wittenheim	524
Kaysersberg	369
Lapoutroie	726
Ribeauvillé	28
Sainte-Marie-aux-Mines	968
Cernay	305
Masevaux	836
Saint-Amarin	746
Thann	616
Beaumont-du-Périgord	591
Bergerac  2e  Canton	162
Bergerac	530
Eymet	275
Issigeac	798
La Force	66
Lalinde	185
Le Buisson-de-Cadouin	574
Monpazier	205
Sainte-Alvère	778
Sigoulès	644
Vélines	211
Villamblard	239
Villefranche-de-Lonchat	173
Bussière-Badil	533
Champagnac-de-Belair	148
Jumilhac-le-Grand	551
Lanouaille	598
Mareuil	23
Nontron	848
Saint-Pardoux-la-Rivière	735
Thiviers	855
Brantôme	903
Excideuil	599
Hautefort	714
Montagrier	240
Montpon-Ménestérol	422
Mussidan	814
Neuvic	140
Périgueux-Nord-Est	646
Périgueux-Ouest	130
Périgueux	501
Ribérac	812
Saint-Astier	793
Saint-Aulaye	915
Saint-Pierre-de-Chignac	661
Savignac-les-Églises	271
Thenon	635
Vergt	768
Verteillac	207
Belvès	273
Carlux	567
Domme	967
Le Bugue	588
Montignac	32
Saint-Cyprien	701
Salignac-Eyvigues	944
Sarlat-la-Canéda	928
Terrasson-Lavilledieu	706
Villefranche-du-Périgord	805
Arcachon	577
Audenge	865
Belin-Béliet	447
La Teste-de-Buch	160
