name	value
Allmendingen	711
Altheim	540
Berghülen	582
Blaubeuren	454
Blaustein	766
Balzheim	480
Dietenheim	565
Illerrieden	611
Beimerstetten	449
Dornstadt	775
Westerstetten	600
Öpfingen	380
Ehingen (Donau)	304
Griesingen	16
Oberdischingen	746
Erbach	220
Hüttisheim	310
Illerkirchberg	757
Schnürpflingen	648
Staig	86
Heroldstatt	977
Laichingen	846
Merklingen	25
Nellingen	463
Westerheim	203
Öllingen	519
Altheim (Alb)	754
Asselfingen	532
Börslingen	239
Ballendorf	921
Bernstadt	302
Breitingen	548
Holzkirch	406
Langenau	944
Neenstetten	616
Nerenstetten	771
Rammingen	987
Setzingen	59
Weidenstetten	647
Amstetten	689
Lonsee	52
Schelklingen	482
Emeringen	274
Emerkingen	755
Grundsheim	398
Hausen am Bussen	94
Lauterach	472
Munderkingen	535
Obermarchtal	740
Oberstadion	920
Rechtenstein	294
Rottenacker	683
Untermarchtal	310
Unterstadion	877
Unterwachingen	304
Aidlingen	511
Grafenau	3
Böblingen	277
Ehningen	425
Gärtringen	527
Deckenpfronn	405
Herrenberg	649
Nufringen	316
Altdorf	922
Hildrizhausen	699
Holzgerlingen	263
Leonberg	801
Magstadt	692
Bondorf	701
Gäufelden	854
Jettingen	558
Mötzingen	500
Renningen	142
Rutesheim	420
Schönaich	251
Sindelfingen	344
Steinenbronn	243
Waldenbuch	768
Weil der Stadt	777
Weil im Schönbuch	175
Weissach	683
Baden-Baden	645
Alleshausen	23
Allmannsweiler	843
Bad Buchau	692
Betzenweiler	858
Dürnau	650
Kanzach	829
Moosburg	610
Oggelshausen	942
Seekirch	824
Tiefenbach	573
Bad Schussenried	743
Ingoldingen	766
Attenweiler	830
Biberach an der Riß	764
Eberhardzell	178
Hochdorf	650
Maselheim	787
Mittelbiberach	354
Ummendorf	691
Warthausen	234
Berkheim	316
Dettingen an der Iller	201
Erolzheim	778
Kirchberg an der Iller	101
Kirchdorf an der Iller	395
Achstetten	869
Burgrieden	88
Laupheim	939
Mietingen	131
Erlenmoos	218
Gutenzell-Hürbel	461
Ochsenhausen	104
Steinhausen an der Rottum	657
Dürmentingen	633
Ertingen	49
Langenenslingen	568
Riedlingen	413
Unlingen	571
Uttenweiler	205
Rot an der Rot	361
Tannheim	577
Schemmerhofen	765
Schwendi	331
Wain	485
Überlingen	240
Owingen	540
Sipplingen	739
Eriskirch	362
Kressbronn am Bodensee	812
Langenargen	592
Friedrichshafen	419
Immenstaad am Bodensee	293
Bermatingen	770
Deggenhausertal	171
Markdorf	811
Oberteuringen	11
Meckenbeuren	738
Daisendorf	1000
Hagnau am Bodensee	365
Meersburg	659
Stetten	967
Uhldingen-Mühlhofen	928
Frickingen	461
Heiligenberg	875
Salem	364
Neukirch	409
Tettnang	347
Bodensee	216
Bad Krozingen	880
Hartheim am Rhein	644
Breisach am Rhein	438
Ihringen	462
Merdingen	821
Buchenbach	826
Kirchzarten	6
Oberried	590
Stegen	515
Bollschweil	783
Ehrenkirchen	591
Gundelfingen	941
Heuweiler	119
Ballrechten-Dottingen	444
Eschbach	731
Heitersheim	252
Au	590
Horben	45
Merzhausen	930
Sölden	699
Wittnau	295
Breitnau	497
Hinterzarten	938
Bötzingen	565
Eichstetten am Kaiserstuhl	721
Gottenheim	203
Friedenweiler	562
Löffingen	333
Lenzkirch	527
Auggen	616
Badenweiler	169
Buggingen	554
Müllheim	899
Sulzburg	958
March	828
Umkirch	503
Neuenburg am Rhein	149
Ebringen	349
Pfaffenweiler	500
Schallstadt	520
Feldberg (Schwarzwald)	940
Schluchsee	431
Glottertal	705
St. Märgen	916
St. Peter	633
Münstertal/Schwarzwald	919
Staufen im Breisgau	868
Eisenbach (Hochschwarzwald)	959
Titisee-Neustadt	967
Vogtsburg im Kaiserstuhl	74
Altensteig	89
Egenhausen	796
Simmersfeld	523
Althengstett	745
Gechingen	247
Ostelsheim	699
Simmozheim	121
Bad Herrenalb	204
Dobel	264
Bad Liebenzell	271
Unterreichenbach	674
Bad Wildbad	527
Enzklösterle	336
Höfen an der Enz	277
Calw	306
Oberreichenbach	274
Ebhausen	464
Haiterbach	868
