region	value
ANTIGUA & BARBUDA	918
Anguilla (UK)	95
BARBADOS	878
BELIZE	874
Bermuda (UK)	159
CANADA	118
COSTA RICA	607
CUBA	466
Cayman Islands (UK)	710
Clipperton Island (FRANCE)	732
DOMINICA	52
DOMINICAN REPUBLIC	592
EL SALVADOR	853
GRENADA	499
GUATEMALA	270
Greenland (DENMARK)	921
Guadeloupe (FRANCE)	195
HAITI	493
HONDURAS	32
In dispute BELIZE/HONDURAS	250
In dispute CANADA/DENMARK	662
In dispute EL SALVADOR/HONDURAS	810
JAMAICA	338
MEXICO	822
Martinique (FRANCE)	825
Montserrat (UK)	784
NICARAGUA	298
Navassa Island (US)	857
PANAMA	16
Puerto Rico (US)	503
SAINT KITTS & NEVIS	138
SAINT LUCIA	749
SAINT VINCENT & THE GRENADINES	501
Saint Barthelemy (FRANCE)	569
Saint Martin (FRANCE)	890
Saint Pierre & Miquelon (FRANCE)	655
THE BAHAMAS	227
Turks & Caicos Islands (UK)	860
COLOMBIA	982
UNITED STATES	437
Virgin Islands (UK)	798
Virgin Islands (US)	58
Pacific Is Refuges (US)	788
Sint Eustatius (NETH)	933
Saba (NETH)	759
Sint Maarten (NETH)	495
VENEZUELA	94
