region	value
American Samoa (US)	672
Antarctica	3
Pacific Is Refuges (US)	320
Cook Islands (NEW ZEALAND)	740
FIJI	303
French Polynesia (FRANCE)	879
KIRIBATI	664
NEW ZEALAND	237
Niue (NEW ZEALAND)	653
Pitcairn Islands (UK)	818
SAMOA	933
TONGA	217
Tokelau (NEW ZEALAND)	827
Wallis and Futuna (FRANCE)	271
AUSTRALIA	190
Coral Sea Islands (AUSTRALIA)	267
Ashmore & Cartier Islands (AUSTRALIA)	499
BRUNEI	869
Christmas Island (AUSTRALIA)	540
Cocos (Keeling) Islands (AUSTRALIA)	718
FEDERATED STATES OF MICRONESIA	399
Guam (US)	616
INDONESIA	476
In dispute-Spratly Islands	868
MALAYSIA	819
MARSHALL ISLANDS	231
NAURU	186
New Caledonia (FRANCE)	716
Norfolk Island (AUSTRALIA)	576
Northern Mariana Islands (US)	62
PALAU	597
PAPUA NEW GUINEA	429
PHILIPPINES	390
SINGAPORE	47
SOLOMAN ISLANDS	61
TIMOR-LESTE	493
TUVALU	860
VANUATU	553
In dispute-CHINA/PHILIPPINES/TAIWAN	191
