name	value
Lake of the Woods	167
Ferry	801
Stevens	785
Okanogan	783
Pend Oreille	796
Boundary	126
Lincoln	379
Flathead	81
Glacier	505
Toole	588
Liberty	895
Hill	360
Sheridan	910
Divide	567
Burke	228
Renville	690
Bottineau	333
Rolette	441
Towner	502
Cavalier	792
Pembina	374
Kittson	197
Roseau	93
Blaine	80
Phillips	597
Valley	999
Daniels	415
Whatcom	727
Bonner	767
Ward	823
Koochiching	21
Skagit	516
Williams	491
McHenry	977
St. Louis	469
San Juan	323
Roosevelt	858
Mountrial	646
Marshall	99
Ramsey	893
Walsh	646
Beltrami	716
Pierce	208
Chelan	502
Pondera	753
Clallam	177
Benson	185
Chouteau	640
Snohomish	87
Island	165
Sanders	446
Lake	996
Nelson	215
Grand Forks	176
Polk	447
Pennington	991
Douglas	606
McKenzie	979
Jefferson	231
Richland	776
Teton	885
McCone	851
Shoshone	364
Spokane	745
Clearwater	82
Kootenai	50
Garfield	937
Red Lake	139
Grant	9
Lewis and Clark	148
Kitsap	958
Itasca	849
Wells	725
McLean	851
Eddy	280
Dunn	449
Fergus	755
Dawson	169
King	953
Cascade	274
Griggs	296
Steele	31
Traill	870
Mason	367
Missoula	525
Petroleum	363
Powell	646
Kittitas	861
Foster	751
Mercer	962
Grays Harbor	686
Norman	778
Mahnomen	549
Mineral	907
Cass	812
Aroostook	139
Judith Basin	508
Hubbard	215
Benewah	964
Wibaux	680
Golden Valley	374
Billings	287
Stutsman	31
Kidder	60
Burleigh	144
Oliver	219
Adams	217
Whitman	386
Barnes	202
Prairie	371
Becker	784
Clay	160
Thurston	374
Latah	937
Meagher	77
Yakima	633
Aitkin	570
Stark	127
Morton	510
Bayfield	690
Custer	894
Rosebud	643
Granite	685
Wadena	314
Crow Wing	445
Pacific	537
Lewis	538
Broadwater	436
Carlton	29
Musselshell	50
Wheatland	942
Franklin	949
Benton	134
Otter Tail	301
Fallon	177
Idaho	702
Ravalli	38
Ashland	687
Logan	575
Emmons	159
La Moure	1000
Slope	565
Hettinger	1
Ransom	780
Wilkin	623
Nez Perce	313
Columbia	163
Walla Walla	13
Iron	687
Somerset	228
Piscataquis	489
Yellowstone	615
Treasure	985
Asotin	444
Sioux	271
Pine	933
Penobscot	598
Skamania	342
Cowlitz	135
Wahkiakum	926
Todd	244
Morrison	157
McIntosh	831
Dickey	22
Sargent	745
Bowman	248
Deer Lodge	368
Mille Lacs	284
Clatsop	826
Sweet Grass	394
Gallatin	371
Park	928
Silver Bow	854
Washburn	954
Sawyer	633
Burnett	766
Kanabec	722
Carter	67
Stillwater	515
Clark	873
Klickitat	882
Big Horn	789
Traverse	929
Umatilla	726
Wallowa	528
Price	634
Campbell	762
Harding	181
McPherson	637
Perkins	55
Corson	981
Brown	668
Beaverhead	360
Roberts	477
Morrow	997
Union	398
Madison	207
Gilliam	644
Powder River	424
Stearns	350
