title	year	length	budget	rating	votes	mpaa	genre	status
Shawshank Redemption, The	1994	142	25	9.1	149494	R	Drama	yes
Lord of the Rings: The Return of the King, The	2003	251	94	9	103631	PG-13	Action	yes
Lord of the Rings: The Fellowship of the Ring, The	2001	208	93	8.8	157608	PG-13	Action	yes
Lord of the Rings: The Two Towers, The	2002	223	94	8.8	114797	PG-13	Action	yes
Pulp Fiction	1994	168	8	8.8	132745	R	Drama	yes
Schindler's List	1993	195	25	8.8	97667	R	Drama	yes
Star Wars	1977	125	11	8.8	134640	PG	Action	yes
Star Wars: Episode V - The Empire Strikes Back	1980	129	18	8.8	103706	PG	Action	yes
C'era una volta il West	1968	158	5	8.7	17241	PG-13	Drama	yes
Cidade de Deus	2002	135	3.3	8.7	25964	R	Drama	yes
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	93	1.8	8.7	63471	PG	Comedy	yes
Memento	2000	113	5	8.7	90317	R	Drama	yes
Eternal Sunshine of the Spotless Mind	2004	108	20	8.6	46240	R	RomCom	yes
American Beauty	1999	121	15	8.5	109991	R	Drama	yes
Apocalypse Now	1979	202	31.5	8.5	64785	R	Action Drama	yes
Boot, Das	1981	216	14	8.5	28920	R	Drama	yes
Fight Club	1999	139	63	8.5	112092	R	Drama	yes
Matrix, The	1999	136	63	8.5	143853	R	Action	yes
Pianist, The	2002	150	35	8.5	30467	R	Drama	yes
Taegukgi hwinalrimyeo	2004	140	12.8	8.5	1792	R	Action Drama	yes
American History X	1998	119	10	8.4	59677	R	Drama	yes
Requiem for a Dream	2000	102	4.5	8.4	47845	R	Drama	yes
Se7en	1995	127	30	8.4	88371	R	Drama	yes
Aliens	1986	154	18.5	8.3	63961	R	Action	yes
Amadeus	1984	180	18	8.3	36955	R	Drama	yes
Before Sunset	2004	80	10	8.3	8789	R	Romance Drama	yes
Braveheart	1995	177	53	8.3	92437	R	Action Drama	yes
Crash	2004	113	6.5	8.3	1660	R	Drama	yes
Donnie Darko	2001	133	4.5	8.3	51961	R	Drama	yes
Incredibles, The	2004	121	92	8.3	30749	PG	Animated	yes
Kill Bill: Vol. 1	2003	111	55	8.3	65026	R	Action Drama	yes
Kill Bill: Vol. 2	2004	136	30	8.3	44189	R	Action Drama	yes
Million Dollar Baby	2004	132	30	8.3	20195	PG-13	Drama	yes
Saving Private Ryan	1998	170	70	8.3	100267	R	Action Drama	yes
Sin City	2005	124	45.5	8.3	23473	R	Action	yes
Strangers on a Train	1951	103	1.2	8.3	10624	PG	Drama	yes
Adventures of Robin Hood, The	1938	102	1.9	8.2	7359	PG	Action	yes
Amores perros	2000	153	2	8.2	15079	R	Drama	yes
Fargo	1996	98	7	8.2	65597	R	Drama	yes
Festen	1998	105	1.3	8.2	11983	R	Drama	yes
Forrest Gump	1994	142	55	8.2	89722	PG-13	Comedy Drama	yes
Once Upon a Time in America	1984	227	30	8.2	19292	R	Drama	yes
Sixth Sense, The	1999	107	55	8.2	96987	PG-13	Drama	yes
Terminator 2: Judgment Day	1991	154	100	8.2	77614	R	Action Drama	yes
Wo hu cang long	2000	120	15	8.2	52198	PG-13	Action	yes
Big Fish	2003	125	70	8.1	31525	PG-13	Comedy Drama	yes
Garden State	2004	109	2.5	8.1	23814	R	RomCom	yes
Green Mile, The	1999	188	60	8.1	60142	R	Drama	yes
Star Wars: Episode VI - Return of the Jedi	1983	135	32.5	8.1	82471	PG	Action	yes
Station Agent, The	2003	88	0.5	8.1	7112	R	Drama	yes
Ying xiong	2002	93	30	8.1	24128	PG-13	Action Drama	yes
21 Grams	2003	124	20	8	21857	R	Drama	yes
Almost Famous	2000	162	60	8	38648	R	Comedy Drama	yes
Big Lebowski, The	1998	117	15	8	50179	R	Comedy	yes
Ed Wood	1994	127	18	8	22612	R	Comedy Drama	yes
Gladiator	2000	155	103	8	92495	R	Action Drama	yes
Insider, The	1999	157	68	8	28780	R	Drama	yes
Intruder, The	1962	84	0.08	8	163	PG-13	Drama	yes
Last Picture Show, The	1971	118	1.3	8	5340	R	Drama	yes
Lost in Translation	2003	102	4	8	42450	R	Comedy Drama	yes
Magnolia	1999	188	37	8	45992	R	Drama	yes
Mystic River	2003	137	30	8	28969	R	Drama	yes
Pirates of the Caribbean: The Curse of the Black Pearl	2003	143	125	8	60812	PG-13	Action Comedy	yes
Shrek	2001	90	60	8	65146	PG	Animated	yes
Sideways	2004	123	16	8	17051	R	Comedy Drama	yes
Trainspotting	1996	94	3.5	8	51887	R	Drama	yes
Adaptation.	2002	114	19	7.9	25140	R	Comedy Drama	yes
Clerks.	1994	92	0.23	7.9	39927	R	Comedy Drama	yes
Doctor Zhivago	1965	200	11	7.9	10283	PG-13	Romance Drama	yes
Gong fu	2004	99	20	7.9	5299	R	Action Comedy	yes
Heat	1995	188	60	7.9	44588	R	Action Drama	yes
Henry V	1989	137	9	7.9	8241	PG-13	Action Drama	yes
Invasions barbares, Les	2003	112	5	7.9	4900	R	Comedy Drama	yes
Iron Giant, The	1999	86	48	7.9	15151	PG	Animated	yes
Lashou shentan	1992	131	4.5	7.9	6568	R	Action Drama	yes
Last Samurai, The	2003	154	100	7.9	31668	R	Action Drama	yes
Mulholland Dr.	2001	147	15	7.9	35504	R	Drama	yes
Secrets & Lies	1996	136	4.5	7.9	7747	R	Comedy Drama	yes
Shaun of the Dead	2004	99	4	7.9	18685	R	Comedy	yes
Snatch.	2000	102	10	7.9	44785	R	Comedy	yes
Spider-Man 2	2004	127	200	7.9	40256	PG-13	Action	yes
Twelve Monkeys	1995	129	29	7.9	62301	R	Drama	yes
When Zachary Beaver Came to Town	2003	85	3	7.9	35	PG	Drama	yes
X2	2003	133	110	7.9	38191	PG-13	Action	yes
25th Hour	2002	135	15	7.8	15788	R	Drama	yes
Beautiful Mind, A	2001	135	60	7.8	43291	PG-13	Drama	yes
Casino	1995	176	52	7.8	27234	R	Drama	yes
E.T. the Extra-Terrestrial	1982	120	10.5	7.8	44175	PG	Drama	yes
Ghost World	2000	111	7	7.8	17976	R	Comedy Drama	yes
Good Will Hunting	1997	126	10	7.8	60858	R	Drama	yes
House of Sand and Fog	2003	126	16	7.8	8164	R	Drama	yes
In This World	2002	88	1.9	7.8	815	R	Drama	yes
JFK	1991	206	40	7.8	26456	R	Drama	yes
Lunes al sol, Los	2002	113	4	7.8	1466	R	Drama	yes
MASH	1970	112	3.5	7.8	14829	R	Comedy Drama	yes
Minority Report	2002	145	102	7.8	51199	PG-13	Action Drama	yes
Notebook, The	2004	123	30	7.8	8830	PG-13	Romance Drama	yes
O Brother, Where Art Thou?	2000	106	26	7.8	37961	PG-13	Comedy	yes
Others, The	2001	104	17	7.8	36914	PG-13	Drama	yes
Rebel Without a Cause	1955	111	1.5	7.8	11055	PG-13	Drama	yes
Shrek 2	2004	92	75	7.8	27236	PG	Animated	yes
Traffic	2000	147	48	7.8	41268	R	Drama	yes
Violon rouge, Le	1998	140	10	7.8	6995	R	Romance Drama	yes
You Can Count on Me	2000	111	1.2	7.8	7630	R	Drama	yes
As Good as It Gets	1997	139	50	7.7	47441	PG-13	RomCom	yes
Billy Elliot	2000	110	5	7.7	16725	R	Drama	yes
Carandiru	2003	147	6	7.7	1608	R	Drama	yes
Collateral	2004	120	65	7.7	24499	R	Drama	yes
Far from Heaven	2002	107	13.5	7.7	9167	PG-13	Romance Drama	yes
Heavenly Creatures	1994	108	5	7.7	11453	R	Romance Drama	yes
Hedwig and the Angry Inch	2001	93	6	7.7	6072	R	RomCom	yes
Interstate 60	2002	116	7	7.7	2495	R	Comedy Drama	yes
Karakter	1997	122	4.5	7.7	2687	R	Drama	yes
Lone Star	1996	135	5	7.7	8518	R	Drama	yes
Man Who Wasn't There, The	2001	118	20	7.7	17028	R	Comedy Drama	yes
Maquinista, El	2004	102	5	7.7	4322	R	Drama	yes
Moulin Rouge!	2001	127	52.5	7.7	47689	PG-13	Romance Drama	yes
Office Space	1999	89	10	7.7	26134	R	Comedy	yes
Rabbit-Proof Fence	2002	94	6	7.7	5079	PG	Drama	yes
