age	gender	year	pop
0-4	male	1950	171.851238
5-9	male	1950	137.992424
10-14	male	1950	133.274278
15-19	male	1950	121.692743
20-24	male	1950	112.394382
25-29	male	1950	96.594075
30-34	male	1950	83.385946
35-39	male	1950	80.596713
40-44	male	1950	73.082626
45-49	male	1950	63.136479
50-54	male	1950	52.593586
55-59	male	1950	42.523172
60-64	male	1950	34.370241
65-69	male	1950	25.04987
70-74	male	1950	16.560301
75-79	male	1950	9.400711
80-84	male	1950	3.854504
85-89	male	1950	1.284851
90-94	male	1950	0.314663
95-99	male	1950	0.058533
100+	male	1950	0.009501
0-4	female	1950	165.580655
5-9	female	1950	131.557139
10-14	female	1950	127.011695
15-19	female	1950	116.935705
20-24	female	1950	109.386527
25-29	female	1950	97.829844
30-34	female	1950	83.550604
35-39	female	1950	82.320715
40-44	female	1950	74.400168
45-49	female	1950	64.278449
50-54	female	1950	55.014452
55-59	female	1950	46.077573
60-64	female	1950	39.052122
65-69	female	1950	30.056559
70-74	female	1950	20.799887
75-79	female	1950	12.596606
80-84	female	1950	5.724381
85-89	female	1950	2.165515
90-94	female	1950	0.627281
95-99	female	1950	0.137941
100+	female	1950	0.024657
0-4	male	2000	312.922708
5-9	male	2000	316.851924
10-14	male	2000	321.70669
15-19	male	2000	290.18731
20-24	male	2000	263.313968
25-29	male	2000	256.375782
30-34	male	2000	242.044902
35-39	male	2000	216.360431
40-44	male	2000	188.021238
45-49	male	2000	167.873318
50-54	male	2000	131.2985
55-59	male	2000	103.457094
60-64	male	2000	91.395675
65-69	male	2000	72.20425
70-74	male	2000	53.070619
75-79	male	2000	32.346914
80-84	male	2000	16.033579
85-89	male	2000	6.898426
90-94	male	2000	1.84177
95-99	male	2000	0.30279
100+	male	2000	0.029774
0-4	female	2000	293.265648
5-9	female	2000	297.821248
10-14	female	2000	304.914942
15-19	female	2000	277.73882
20-24	female	2000	253.389638
25-29	female	2000	247.428757
30-34	female	2000	235.1495
35-39	female	2000	210.697963
40-44	female	2000	184.23876
45-49	female	2000	165.909845
50-54	female	2000	132.753044
55-59	female	2000	105.833712
60-64	female	2000	96.673709
65-69	female	2000	80.113007
70-74	female	2000	64.633412
75-79	female	2000	45.663562
80-84	female	2000	25.620237
85-89	female	2000	14.108771
90-94	female	2000	4.965906
95-99	female	2000	1.03382
100+	female	2000	0.130158
0-4	male	2050	358.052777
5-9	male	2050	354.951376
10-14	male	2050	350.183415
15-19	male	2050	344.153582
20-24	male	2050	338.880369
25-29	male	2050	337.221732
30-34	male	2050	337.12117
35-39	male	2050	330.049172
40-44	male	2050	312.093117
45-49	male	2050	293.041474
50-54	male	2050	278.588953
55-59	male	2050	276.053845
60-64	male	2050	264.278279
65-69	male	2050	218.512137
70-74	male	2050	174.505754
75-79	male	2050	142.608369
80-84	male	2050	99.676971
85-89	male	2050	54.662793
90-94	male	2050	21.79687
95-99	male	2050	6.058483
100+	male	2050	0.956388
0-4	female	2050	340.250999
5-9	female	2050	337.213816
10-14	female	2050	332.240233
15-19	female	2050	326.149733
20-24	female	2050	321.065326
25-29	female	2050	319.221278
30-34	female	2050	318.828949
35-39	female	2050	312.172752
40-44	female	2050	295.988462
45-49	female	2050	279.533985
50-54	female	2050	268.551483
55-59	female	2050	271.573703
60-64	female	2050	268.66263
65-69	female	2050	231.775735
70-74	female	2050	192.701747
75-79	female	2050	164.479622
80-84	female	2050	123.814262
85-89	female	2050	76.080353
90-94	female	2050	35.981847
95-99	female	2050	12.694477
100+	female	2050	2.719576
