Genotype	Cytokine	Experiment	facet
WT	1.312322	Exp_ 1	A
WT	2.171466	Exp_ 2	A
WT	1.49761	Exp_ 3	A
WT	1.088861	Exp_ 4	A
WT	1.270528	Exp_ 5	A
WT	3.012708	Exp_ 6	A
WT	9.691702	Exp_ 7	A
WT	2.765479	Exp_ 8	A
WT	6.774652	Exp_ 9	A
WT	0.492458	Exp_ 10	A
WT	0.540903	Exp_ 11	A
WT	0.205375	Exp_ 12	A
WT	0.381568	Exp_ 13	A
WT	2.130989	Exp_ 14	A
WT	8.432083	Exp_ 15	A
WT	2.670059	Exp_ 16	A
WT	5.181176	Exp_ 17	A
WT	4.687338	Exp_ 18	A
WT	0.471445	Exp_ 19	A
WT	1.956259	Exp_ 20	A
WT	0.171804	Exp_ 21	A
WT	1.021475	Exp_ 22	A
WT	8.096598	Exp_ 23	A
WT	0.343344	Exp_ 24	A
WT	2.791929	Exp_ 25	A
WT	0.623008	Exp_ 26	A
WT	2.020879	Exp_ 27	A
WT	1.081427	Exp_ 28	A
WT	5.853213	Exp_ 29	A
WT	6.333266	Exp_ 30	A
WT	2.756875	Exp_ 31	A
WT	4.308646	Exp_ 32	A
WT	6.368477	Exp_ 33	A
KO	1.952614	Exp_ 1	A
KO	4.105857	Exp_ 2	A
KO	1.524945	Exp_ 3	A
KO	0.947824	Exp_ 4	A
KO	1.751518	Exp_ 5	A
KO	4.915473	Exp_ 6	A
KO	13.8516	Exp_ 7	A
KO	3.724252	Exp_ 8	A
KO	8.139972	Exp_ 9	A
KO	2.421041	Exp_ 10	A
KO	1.036425	Exp_ 11	A
KO	0.451209	Exp_ 12	A
KO	0.664712	Exp_ 13	A
KO	3.055736	Exp_ 14	A
KO	13.24601	Exp_ 15	A
KO	5.07842	Exp_ 16	A
KO	8.139972	Exp_ 17	A
KO	7.421389	Exp_ 18	A
KO	0.638242	Exp_ 19	A
KO	5.937843	Exp_ 20	A
KO	0.557661	Exp_ 21	A
KO	4.834382	Exp_ 22	A
KO	9.270064	Exp_ 23	A
KO	0.811687	Exp_ 24	A
KO	4.937101	Exp_ 25	A
KO	0.656166	Exp_ 26	A
KO	4.513057	Exp_ 27	A
KO	2.122024	Exp_ 28	A
KO	19.58136	Exp_ 29	A
KO	17.92826	Exp_ 30	A
KO	5.042143	Exp_ 31	A
KO	7.886269	Exp_ 32	A
KO	27.99006	Exp_ 33	A
WT	1.312322	Exp_ 1	B
WT	2.171466	Exp_ 2	B
WT	1.49761	Exp_ 3	B
WT	1.088861	Exp_ 4	B
WT	1.270528	Exp_ 5	B
WT	3.012708	Exp_ 6	B
WT	9.691702	Exp_ 7	B
WT	2.765479	Exp_ 8	B
WT	6.774652	Exp_ 9	B
WT	0.492458	Exp_ 10	B
WT	0.540903	Exp_ 11	B
WT	0.205375	Exp_ 12	B
WT	0.381568	Exp_ 13	B
WT	2.130989	Exp_ 14	B
WT	8.432083	Exp_ 15	B
WT	2.670059	Exp_ 16	B
WT	5.181176	Exp_ 17	B
WT	4.687338	Exp_ 18	B
WT	0.471445	Exp_ 19	B
WT	1.956259	Exp_ 20	B
WT	0.171804	Exp_ 21	B
WT	1.021475	Exp_ 22	B
WT	8.096598	Exp_ 23	B
WT	0.343344	Exp_ 24	B
WT	2.791929	Exp_ 25	B
WT	0.623008	Exp_ 26	B
WT	2.020879	Exp_ 27	B
WT	1.081427	Exp_ 28	B
WT	5.853213	Exp_ 29	B
WT	6.333266	Exp_ 30	B
WT	2.756875	Exp_ 31	B
WT	4.308646	Exp_ 32	B
WT	6.368477	Exp_ 33	B
KO	1.952614	Exp_ 1	B
KO	4.105857	Exp_ 2	B
KO	1.524945	Exp_ 3	B
KO	0.947824	Exp_ 4	B
KO	1.751518	Exp_ 5	B
KO	4.915473	Exp_ 6	B
KO	13.8516	Exp_ 7	B
KO	3.724252	Exp_ 8	B
KO	8.139972	Exp_ 9	B
KO	2.421041	Exp_ 10	B
KO	1.036425	Exp_ 11	B
KO	0.451209	Exp_ 12	B
KO	0.664712	Exp_ 13	B
KO	3.055736	Exp_ 14	B
KO	13.24601	Exp_ 15	B
KO	5.07842	Exp_ 16	B
KO	8.139972	Exp_ 17	B
KO	7.421389	Exp_ 18	B
KO	0.638242	Exp_ 19	B
KO	5.937843	Exp_ 20	B
KO	0.557661	Exp_ 21	B
KO	4.834382	Exp_ 22	B
KO	9.270064	Exp_ 23	B
KO	0.811687	Exp_ 24	B
KO	4.937101	Exp_ 25	B
KO	0.656166	Exp_ 26	B
KO	4.513057	Exp_ 27	B
KO	2.122024	Exp_ 28	B
KO	19.58136	Exp_ 29	B
KO	17.92826	Exp_ 30	B
KO	5.042143	Exp_ 31	B
KO	7.886269	Exp_ 32	B
KO	27.99006	Exp_ 33	B
