country	continent	year	lifeExp	pop	gdpPercap
Costa Rica	Americas	1992	76	3173216	6160.416317
Costa Rica	Americas	1997	77	3518107	6677.045314
Costa Rica	Americas	2002	78	3834934	7723.447195
Costa Rica	Americas	2007	79	4133884	9645.06142
El Salvador	Americas	1992	67	5274649	4444.2317
El Salvador	Americas	1997	70	5783439	5154.825496
El Salvador	Americas	2002	71	6353681	5351.568666
El Salvador	Americas	2007	72	6939688	5728.353514
Guatemala	Americas	1992	63	8486949	4439.45084
Guatemala	Americas	1997	66	9803875	4684.313807
Guatemala	Americas	2002	69	11178650	4858.347495
Guatemala	Americas	2007	70	12572928	5186.050003
Honduras	Americas	1992	66	5077347	3081.694603
Honduras	Americas	1997	68	5867957	3160.454906
Honduras	Americas	2002	69	6677328	3099.72866
Honduras	Americas	2007	70	7483763	3548.330846
Nicaragua	Americas	1992	66	4017939	2170.151724
Nicaragua	Americas	1997	68	4609572	2253.023004
Nicaragua	Americas	2002	71	5146848	2474.548819
Nicaragua	Americas	2007	73	5675356	2749.320965
Panama	Americas	1992	72	2484997	6618.74305
Panama	Americas	1997	74	2734531	7113.692252
Panama	Americas	2002	75	2990875	7356.031934
Panama	Americas	2007	76	3242173	9809.185636
