date	obs	mod	month	model
1998-01-01 00:00:00	285	470.087711920667	1	model 1
1998-01-01 01:00:00	NA	289.086624808229	1	model 1
1998-01-01 02:00:00	NA	181.201988084393	1	model 1
1998-01-01 03:00:00	493	193.824054357028	1	model 1
1998-01-01 04:00:00	468	140.748716483718	1	model 1
1998-01-01 05:00:00	264	111.993102014783	1	model 1
1998-01-01 06:00:00	171	112.184562358227	1	model 1
1998-01-01 07:00:00	195	113.369730707148	1	model 1
1998-01-01 08:00:00	137	113.541135637244	1	model 1
1998-01-01 09:00:00	113	114.986083954535	1	model 1
1998-01-01 10:00:00	100	109.001199106956	1	model 1
1998-01-01 11:00:00	109	98.1906749174839	1	model 1
1998-01-01 12:00:00	110	81.9720522098128	1	model 1
1998-01-01 13:00:00	108	54.1423939885865	1	model 1
1998-01-01 14:00:00	119	56.1832070766547	1	model 1
1998-01-01 15:00:00	89	59.0590300273594	1	model 1
1998-01-01 16:00:00	74	61.0887910226291	1	model 1
1998-01-01 17:00:00	55	103.182080079857	1	model 1
1998-01-01 18:00:00	54	140.415065598136	1	model 1
1998-01-01 19:00:00	42	137.970548366081	1	model 1
1998-01-01 20:00:00	62	124.679502335784	1	model 1
1998-01-01 21:00:00	88	NA	1	model 1
1998-01-01 22:00:00	147	72.8379634328578	1	model 1
1998-01-01 23:00:00	104	39.9408215449221	1	model 1
1998-01-02 00:00:00	107	65.3726852568276	1	model 1
1998-01-02 01:00:00	NA	62.5274135630105	1	model 1
1998-01-02 02:00:00	63	44.7121034687102	1	model 1
1998-01-02 03:00:00	45	114.049512196082	1	model 1
1998-01-02 04:00:00	49	108.29891498384	1	model 1
1998-01-02 05:00:00	51	206.982841074744	1	model 1
1998-01-02 06:00:00	49	220.875342281998	1	model 1
1998-01-02 07:00:00	88	224.006016639094	1	model 1
1998-01-02 08:00:00	104	104.71934796863	1	model 1
1998-01-02 09:00:00	181	61.391111266583	1	model 1
1998-01-02 10:00:00	209	102.66660589975	1	model 1
1998-01-02 11:00:00	208	122.268685539531	1	model 1
1998-01-02 12:00:00	94	166.522031707377	1	model 1
1998-01-02 13:00:00	50	267.210287799788	1	model 1
1998-01-02 14:00:00	91	241.415242142515	1	model 1
1998-01-02 15:00:00	101	274.853115610535	1	model 1
1998-01-02 16:00:00	171	205.700020622284	1	model 1
1998-01-02 17:00:00	249	165.894280486707	1	model 1
1998-01-02 18:00:00	238	172.315850458457	1	model 1
