Samples	Species
M1	setosa
M2	setosa
M3	setosa
M4	setosa
M5	setosa
M6	setosa
M7	setosa
M8	setosa
M9	setosa
M10	setosa
M11	setosa
M12	setosa
M13	setosa
M14	setosa
M15	setosa
M16	setosa
M17	setosa
M18	setosa
M19	setosa
M20	setosa
M21	setosa
M22	setosa
M23	setosa
M24	setosa
M25	setosa
M26	setosa
M27	setosa
M28	setosa
M29	setosa
M30	setosa
M31	setosa
M32	setosa
M33	setosa
M34	setosa
M35	setosa
M36	setosa
M37	setosa
M38	setosa
M39	setosa
M40	setosa
M41	setosa
M42	setosa
M43	setosa
M44	setosa
M45	setosa
M46	setosa
M47	setosa
M48	setosa
M49	setosa
M50	setosa
M51	versicolor
M52	versicolor
M53	versicolor
M54	versicolor
M55	versicolor
M56	versicolor
M57	versicolor
M58	versicolor
M59	versicolor
M60	versicolor
M61	versicolor
M62	versicolor
M63	versicolor
M64	versicolor
M65	versicolor
M66	versicolor
M67	versicolor
M68	versicolor
M69	versicolor
M70	versicolor
M71	versicolor
M72	versicolor
M73	versicolor
M74	versicolor
M75	versicolor
M76	versicolor
M77	versicolor
M78	versicolor
M79	versicolor
M80	versicolor
M81	versicolor
M82	versicolor
M83	versicolor
M84	versicolor
M85	versicolor
M86	versicolor
M87	versicolor
M88	versicolor
M89	versicolor
M90	versicolor
M91	versicolor
M92	versicolor
M93	versicolor
M94	versicolor
M95	versicolor
M96	versicolor
M97	versicolor
M98	versicolor
M99	versicolor
M100	versicolor
M101	virginica
M102	virginica
M103	virginica
M104	virginica
M105	virginica
M106	virginica
M107	virginica
M108	virginica
M109	virginica
M110	virginica
M111	virginica
M112	virginica
M113	virginica
M114	virginica
M115	virginica
M116	virginica
M117	virginica
M118	virginica
M119	virginica
M120	virginica
M121	virginica
M122	virginica
M123	virginica
M124	virginica
M125	virginica
M126	virginica
M127	virginica
M128	virginica
M129	virginica
M130	virginica
M131	virginica
M132	virginica
M133	virginica
M134	virginica
M135	virginica
M136	virginica
M137	virginica
M138	virginica
M139	virginica
M140	virginica
M141	virginica
M142	virginica
M143	virginica
M144	virginica
M145	virginica
M146	virginica
M147	virginica
M148	virginica
M149	virginica
M150	virginica
