Symbol	logFC	P.Value
LTB	2.580830574	1.17E-14
CDCA5	-2.326302376	2.46E-13
C10orf54	3.307901298	3.53E-13
CAPN7	2.514235402	1.04E-12
OIP5	-2.16662036	1.43E-12
SNORD116-2	3.139661776	2.15E-12
PKIG	-1.560503944	1.58E-12
EMCN	3.681695861	2.68E-12
B2M	1.578095238	2.82E-12
IL6ST	2.287862908	5.51E-12
SNORD90	4.285534102	6.12E-12
DUSP6	3.01388868	7.90E-12
RBMS1	2.251183421	8.82E-12
C4orf18	4.252879583	1.17E-11
SKAP1	3.112284552	1.80E-11
CD48	1.8697202	1.89E-11
F11R	2.647752591	1.99E-11
ZNF83	2.854695072	2.93E-11
KIAA0664	-1.565376538	3.34E-11
SETBP1	2.23996263	3.90E-11
TNFSF10	3.044122513	3.87E-11
SMOX	2.191591775	4.85E-11
FAIM3	3.789600438	4.90E-11
NLRP1	1.637345982	6.18E-11
SNORD11B	2.731552213	5.99E-11
SHCBP1	-1.764536246	7.34E-11
TUBA4A	2.699864676	7.56E-11
SNORD45A	3.17650067	9.76E-11
GAS2	1.794776006	1.05E-10
DENND4C	2.532413268	1.16E-10
CENTD1	3.840179499	1.23E-10
STX16	1.753540316	1.41E-10
GLTP	2.466056912	1.41E-10
SUCLG2	2.928543297	1.57E-10
NCAPD3	-1.781520666	1.67E-10
FBXO30	2.632198292	1.78E-10
MCTP1	2.494353116	1.96E-10
TMEM106B	2.641348607	2.18E-10
ANXA4	2.589776199	2.26E-10
BRI3	2.32304862	2.65E-10
SCMH1	2.534410245	2.81E-10
EFNA1	2.061209663	3.17E-10
LOC100216545	2.563903745	3.23E-10
TFPI	2.768874139	3.47E-10
DOCK10	1.574819826	3.58E-10
PLEC1	2.046811325	4.21E-10
NBPF14	1.631133914	4.26E-10
GNAI1	3.292962351	4.50E-10
DNAJB14	1.762813394	4.64E-10
SPIN1	1.89821937	4.90E-10
C3orf65	2.486153394	5.10E-10
SNORA40	3.032186515	5.13E-10
JAK3	1.673176313	5.36E-10
DAPP1	2.773503453	5.53E-10
CIDECP	1.673952095	5.52E-10
BAT1	1.659285974	6.52E-10
CD302	3.143917019	6.41E-10
HIST2H2BF	2.107694721	7.38E-10
TSC22D3	1.348915568	7.35E-10
JMY	2.973822067	7.99E-10
WDR4	-1.310110292	8.66E-10
WFS1	3.231184469	9.04E-10
PPP1R15B	2.941824385	9.31E-10
TNFRSF10D	2.420104255	9.79E-10
SNORD101	3.125526526	9.89E-10
WBP5	2.732004269	9.91E-10
CCBL2	3.112615008	1.01E-09
PDCD2L	-2.113055026	1.04E-09
SLK	2.884328183	1.04E-09
CAPN2	2.124368974	1.13E-09
C1orf27	2.935836151	1.25E-09
LOC54103	2.739359464	1.42E-09
GIMAP8	2.956962963	1.43E-09
DYNLT3	2.723945192	1.50E-09
CD320	-0.974251062	1.58E-09
C7orf43	1.810778464	1.65E-09
TMEM38B	3.008491233	1.64E-09
SNRK	1.865929972	1.86E-09
SNRK	1.891882225	1.89E-09
PHYH	2.121411408	1.99E-09
SNX10	3.18236194	2.00E-09
PPP2CB	3.317414573	2.22E-09
EID3	2.498561617	2.23E-09
LOC153561	1.669940216	2.34E-09
VEZT	3.154359576	2.31E-09
PREX2	2.624955415	2.32E-09
CD74	2.264093985	2.33E-09
HIST2H2BE	2.822447195	2.50E-09
SEL1L3	1.452464322	2.53E-09
NAP1L1	2.525931404	2.73E-09
PTTG3P	-1.2886861	2.74E-09
GNA13	2.984842773	2.79E-09
ALDH1A1	2.805007303	2.82E-09
RFWD2	1.320951986	2.98E-09
RNF149	2.001710859	2.99E-09
MN1	1.650245511	3.06E-09
UBE2T	-2.642575162	3.08E-09
GBP2	1.849700828	3.30E-09
UHRF1	-1.498478196	3.32E-09
DDX17	1.355291128	3.43E-09
DVL2	1.567126145	3.45E-09
C8orf33	1.61634479	3.52E-09
KCTD6	2.741615683	3.54E-09
REL	2.616629244	3.76E-09
PLEKHA5	2.157890626	3.75E-09
PDXDC2	2.412685822	3.84E-09
CYP51A1	2.269862597	3.94E-09
C6orf204	2.650498256	3.94E-09
PPM1D	1.838008448	4.02E-09
C1orf52	2.209529981	4.12E-09
PFDN5	1.184332	4.11E-09
SNORD15A	3.106151098	4.47E-09
C11orf71	2.213827794	4.45E-09
SLC5A10	3.32741743	4.73E-09
SNORD58A	2.633392176	4.73E-09
KIF16B	2.899153367	4.83E-09
C20orf106	2.45895529	4.85E-09
FBXO11	2.968344081	5.21E-09
G3BP2	2.438734867	5.23E-09
TUBB4Q	1.755223987	5.41E-09
AES	2.650892668	5.43E-09
PYGL	1.530968225	5.55E-09
SNORD57	2.174552314	5.56E-09
NR4A2	2.615482307	5.76E-09
CENPH	-2.19106195	5.81E-09
BMP6	2.636175343	6.09E-09
ECE2	-3.098961372	6.32E-09
SLC30A3	2.392841012	6.71E-09
MYCT1	2.728250017	6.73E-09
DUSP11	1.874551148	7.50E-09
HLA-C	3.623823362	7.50E-09
PTGS2	3.325491831	7.72E-09
NPIP	1.2141338	7.94E-09
NMD3	2.556687502	8.20E-09
NHLRC3	2.188286202	8.41E-09
TP53INP1	1.694127564	8.74E-09
HLA-DMB	0.918279148	9.00E-09
43166	2.927183144	9.26E-09
EFHC2	1.989834569	9.32E-09
HECA	2.57491547	9.71E-09
ACSF2	2.784113269	9.73E-09
ITGAX	2.380372559	1.00E-08
SNORD109A	2.568549382	1.01E-08
CDCA4	-2.582205642	1.03E-08
Septin 2	2.42105794	1.04E-08
GABBR1	2.564331292	1.07E-08
TAPBP	1.704721108	1.08E-08
KPNA6	1.129223094	1.14E-08
ATP5G1	-1.244276948	1.15E-08
LOC728855	2.939539196	1.19E-08
ZNF655	2.146976359	1.19E-08
GIMAP2	2.616881069	1.26E-08
SNORD54	3.049868661	1.27E-08
WDR33	1.948287195	1.34E-08
PREX2	3.285895384	1.35E-08
SCFD1	2.600587841	1.40E-08
CRYM	-3.238068573	1.41E-08
NDUFA12	-0.848197348	1.45E-08
ADIPOR1	2.851473731	1.48E-08
RAPGEF3	2.693761519	1.58E-08
ASGR1	2.290184317	1.60E-08
AMMECR1L	1.711783887	1.75E-08
ARHGAP27	1.770732045	1.76E-08
ATG16L1	-1.568648562	1.78E-08
ARGLU1	1.682967662	1.79E-08
TTC14	2.681213309	1.81E-08
PIK3C2A	2.600816364	1.81E-08
FAM108B1	2.166117703	1.89E-08
ETS1	2.777475458	1.89E-08
LIN7C	2.069317387	1.95E-08
MAN1A1	2.467221656	1.97E-08
TMEM70	1.459796049	2.01E-08
SCARNA1	2.665515293	2.01E-08
7A5	2.376298384	2.07E-08
SNORA53	2.401449051	2.09E-08
SNORA11	2.322649296	2.14E-08
KIAA1191	1.915860872	2.15E-08
KCNK5	-2.518390469	2.30E-08
RPS21	-1.170227058	2.32E-08
TERF1	1.638389068	2.37E-08
WSB1	1.069996842	2.37E-08
GATAD1	1.679118217	2.43E-08
NR4A3	2.137548814	2.45E-08
GOLGA6	1.763912508	2.51E-08
ERG	2.972707379	2.52E-08
MALT1	2.26037905	2.55E-08
HERPUD2	1.900667585	2.56E-08
LCOR	2.863017349	2.68E-08
ARL4A	2.534282385	2.68E-08
IQCA1	1.799161113	2.76E-08
TM2D1	2.591118647	2.78E-08
UCK2	-1.089567526	2.88E-08
SMURF1	2.213575609	2.92E-08
SP1	2.296459764	2.99E-08
TADA1L	1.926722058	3.01E-08
SNORD60	2.401728236	3.10E-08
P2RY5	2.204663192	3.13E-08
RRP1B	2.085705853	3.24E-08
NR4A2	3.358040068	3.24E-08
C12orf31	2.434593945	3.38E-08
TMED7	2.64503761	3.41E-08
PNRC2	1.969004393	3.44E-08
FAM164A	1.843772505	3.51E-08
GART	-1.351433354	3.61E-08
UBR7	-1.435194528	3.62E-08
STARD4	2.224089317	3.83E-08
KIAA0101	-2.920414589	3.84E-08
PLAGL1	1.853212055	3.97E-08
IGLL1	-2.297869085	4.02E-08
SPAG9	2.233964196	4.11E-08
ACE	1.496120153	4.14E-08
PTPN22	2.444700116	4.28E-08
CLK1	2.526763799	4.33E-08
NOP14	2.261392002	4.40E-08
ALDH6A1	1.762876928	4.42E-08
FAM98A	1.571431616	4.50E-08
ADD3	2.584354917	4.51E-08
C1orf85	1.451055504	4.66E-08
PEAR1	2.32583453	4.69E-08
CRLF3	2.143178781	4.79E-08
AGL	2.390643324	4.85E-08
C2orf32	-4.393018768	4.97E-08
TSC22D2	2.893539092	4.99E-08
KIAA1143	2.386606962	5.20E-08
FAM120AOS	1.833994649	5.23E-08
ARL4A	2.628451682	5.52E-08
EHD2	2.507711389	5.51E-08
TCEAL3	2.592378097	5.64E-08
ACBD3	2.202158272	5.74E-08
SLC25A19	-1.786317456	5.84E-08
LRP1	2.439869094	5.85E-08
MARCKS	1.57127199	5.95E-08
FUT11	2.140072864	6.04E-08
FBXO3	1.699236697	6.06E-08
ZNF644	2.21248374	6.12E-08
WBP2	1.07050078	6.29E-08
KIF27	2.673535202	6.32E-08
PKMYT1	-4.42290933	6.46E-08
AMD1	2.599648671	6.48E-08
RNF103	2.327445671	6.60E-08
SKP1	2.011967001	6.59E-08
GRK5	1.804758477	6.79E-08
RPS23	1.484142372	6.83E-08
METTL9	1.859259752	6.94E-08
HOXA2	2.126448566	6.93E-08
DCBLD2	3.336851659	7.09E-08
MTFMT	1.998551051	7.13E-08
CENPN	-0.861824614	7.21E-08
ST13	1.231982764	7.21E-08
LOC440354	1.628840962	7.26E-08
IFNAR2	1.890839122	7.36E-08
SNORA21	1.87845627	7.63E-08
CARD16	2.811988831	7.71E-08
CXorf21	2.526566943	7.81E-08
KIAA0240	1.660318907	7.88E-08
AIF1	1.649946816	7.98E-08
OAS3	1.407428078	8.00E-08
RNF13	1.878881286	8.10E-08
