chr	start	end
Chr10	38648	40060
Chr10	45941	58338
Chr10	67119	72971
Chr10	75410	76305
Chr10	80964	82250
Chr10	94798	97746
Chr10	100327	103441
Chr10	110138	116454
Chr10	117752	118419
Chr10	159717	160240
Chr10	165751	166057
Chr10	169495	171573
Chr10	186839	188513
Chr10	194038	194382
Chr10	208873	209564
Chr10	211297	214198
Chr10	228716	233969
Chr10	239156	242301
Chr10	243538	244559
Chr10	249310	251408
Chr10	252751	253017
Chr10	259994	260482
Chr10	282127	282540
Chr10	284701	286941
Chr10	301771	308113
Chr10	316728	318305
Chr10	321215	321388
Chr10	332989	336465
Chr10	344330	347794
Chr10	348798	357989
Chr10	372226	375691
Chr10	377147	382430
Chr10	386264	387022
Chr10	406740	416081
Chr10	418699	419051
Chr10	427454	430429
Chr10	431802	433551
Chr10	435411	438047
Chr10	444538	445563
Chr10	448670	452960
Chr10	455987	457291
Chr10	458730	460565
Chr10	461268	461776
Chr10	468565	472415
Chr10	473916	476054
Chr10	477515	477832
Chr10	488939	489472
Chr10	500364	507207
Chr10	526147	527331
Chr10	528323	528726
Chr10	529428	533602
Chr10	535958	538026
Chr10	540892	542632
Chr10	545798	548793
Chr10	562675	564724
Chr10	583024	584677
Chr10	591184	592703
Chr10	632158	633300
Chr10	635317	639029
Chr10	643819	644256
Chr10	655612	658907
Chr10	663618	663905
Chr10	677086	678882
Chr10	680099	683327
Chr10	689290	695799
Chr10	724761	725707
Chr10	732949	735916
Chr10	761181	765312
Chr10	771679	776347
Chr10	782304	783800
Chr10	787901	791239
Chr10	792759	799368
Chr10	805663	809801
Chr10	812985	813773
Chr10	816250	817203
Chr10	818700	821884
Chr10	824623	826309
Chr10	833695	835495
Chr10	836753	838994
Chr10	840040	843859
Chr10	848170	850432
Chr10	866389	870954
Chr10	880362	880580
Chr10	904348	907022
Chr10	911552	916911
Chr10	923710	926905
Chr10	926352	930299
Chr10	939315	940401
Chr10	976451	978538
Chr10	992647	994963
Chr10	998165	999451
Chr10	1000086	1002907
Chr10	1004276	1005490
Chr10	1007586	1012944
Chr10	1019498	1021978
Chr10	1023447	1023656
Chr10	1033932	1037595
Chr10	1048647	1050477
Chr10	1053681	1054140
Chr10	1054829	1056630
Chr10	1066876	1072072
Chr10	1082910	1084984
Chr10	1085169	1089548
Chr10	1092789	1096966
Chr10	1108799	1109966
Chr10	1116857	1117664
Chr10	1126728	1131485
Chr10	1136713	1136973
Chr10	1139909	1141433
Chr10	1159949	1161656
Chr10	1162912	1164485
Chr10	1180353	1180850
Chr10	1183564	1183953
Chr10	1189812	1191788
Chr10	1192799	1194859
Chr10	1214175	1214863
Chr10	1216001	1216426
Chr10	1223556	1227061
Chr10	1234067	1241772
Chr10	1243478	1245660
Chr10	1265285	1266469
Chr10	1292626	1294125
Chr10	1300989	1301363
Chr10	1308414	1310945
Chr10	1318060	1320520
Chr10	1355438	1356507
Chr10	1359516	1360316
Chr10	1381690	1382515
Chr10	1384320	1385575
Chr10	1388805	1389186
Chr10	1390813	1391829
Chr10	1405706	1407215
Chr10	1407753	1411439
Chr10	1431142	1432407
Chr10	1438269	1439327
Chr10	1444002	1445321
Chr10	1447360	1451348
Chr10	1452360	1453395
Chr10	1455951	1457102
Chr10	1464694	1465939
Chr10	1468732	1470114
Chr10	1479694	1480206
Chr10	1482632	1486329
Chr10	1498148	1499169
Chr10	1501279	1504668
Chr10	1514813	1515307
Chr10	1516417	1516806
Chr10	1523659	1524437
Chr10	1525512	1526294
Chr10	1530559	1532298
Chr10	1532794	1536196
Chr10	1539462	1540349
Chr10	1540563	1546403
Chr10	1554751	1554957
Chr10	1556748	1560612
Chr10	1561403	1562164
Chr10	1562590	1565335
Chr10	1573894	1574662
Chr10	1587858	1590497
Chr10	1622222	1635958
Chr10	1642335	1646902
Chr10	1656604	1659692
Chr10	1672287	1675190
Chr10	1678019	1678480
Chr10	1681080	1684278
Chr10	1688322	1691241
Chr10	1694920	1697854
Chr10	1700332	1702957
Chr10	1703939	1704759
Chr10	1707818	1715027
Chr10	1717167	1717727
Chr10	1726420	1727241
Chr10	1729211	1740145
Chr10	1740988	1742506
Chr10	1743576	1752161
Chr10	1752360	1752833
Chr10	1755462	1757886
Chr10	1766346	1767221
Chr10	1768415	1768992
Chr10	1770927	1773181
Chr10	1774664	1777677
Chr10	1783324	1783977
Chr10	1785078	1788079
Chr10	1792215	1793090
Chr10	1800058	1802095
Chr10	1828797	1830377
Chr10	1833204	1834781
Chr10	1838774	1839997
Chr10	1841752	1842846
Chr10	1871009	1875535
Chr10	1890052	1894005
Chr10	1897784	1902520
Chr10	1904371	1909316
Chr10	1913152	1915827
Chr10	1920482	1927934
Chr10	1932697	1933882
Chr10	1938511	1945416
Chr10	1949297	1956934
Chr10	1961770	1963890
Chr10	1968313	1970775
Chr10	1987187	1989186
Chr10	1999064	1999595
Chr10	2010999	2011880
Chr10	2044042	2057559
Chr10	2059131	2060817
Chr10	2062493	2064004
Chr10	2077882	2081080
Chr10	2085126	2086821
Chr10	2087424	2091932
Chr10	2098286	2099823
Chr10	2101164	2101632
Chr10	2107756	2109186
Chr10	2122597	2123738
Chr10	2128845	2131672
Chr10	2133169	2133504
Chr10	2143364	2144422
Chr10	2146966	2148521
Chr10	2148682	2149964
Chr10	2151265	2152716
Chr10	2158089	2158978
Chr10	2163123	2164565
Chr10	2169100	2170542
Chr10	2178608	2183211
Chr10	2185226	2188547
Chr10	2191954	2194603
Chr10	2196559	2198967
Chr10	2201493	2206735
Chr10	2208448	2209029
Chr10	2212018	2212907
Chr10	2220769	2224867
Chr10	2226402	2237611
Chr10	2239218	2240843
Chr10	2243002	2245973
Chr10	2247890	2248524
Chr10	2249380	2252231
Chr10	2257490	2262626
Chr10	2278550	2279444
Chr10	2289182	2292768
Chr10	2299438	2300571
Chr10	2317293	2317584
Chr10	2339597	2340690
Chr10	2350404	2354505
Chr10	2358790	2368732
Chr10	2370079	2370324
Chr10	2372182	2372976
Chr10	2374615	2378634
Chr10	2386145	2392769
Chr10	2401665	2404415
Chr10	2408694	2409242
Chr10	2411711	2412426
Chr10	2412880	2413323
Chr10	2416091	2416490
Chr10	2422055	2426567
Chr10	2430137	2432651
Chr10	2438829	2440258
Chr10	2445657	2448048
Chr10	2453869	2455724
Chr10	2458050	2458593
Chr10	2471579	2472453
Chr10	2477206	2489779
Chr10	2492588	2496864
Chr10	2507001	2508384
Chr10	2509517	2509908
Chr10	2510979	2511194
Chr10	2517965	2520483
Chr10	2523971	2524453
Chr10	2525056	2531529
Chr10	2549382	2551501
Chr10	2553979	2557419
Chr10	2558842	2564274
Chr10	2567425	2572064
Chr10	2587274	2588758
Chr10	2591413	2596634
Chr10	2614780	2618676
Chr10	2619498	2623042
Chr10	2629459	2629842
Chr10	2647492	2648745
Chr10	2657347	2658407
Chr10	2662311	2664263
Chr10	2667065	2669149
Chr10	2674139	2675240
Chr10	2676399	2678366
Chr10	2682255	2684331
Chr10	2687347	2687639
Chr10	2698802	2702427
Chr10	2705525	2706349
Chr10	2709104	2711914
Chr10	2715950	2718897
Chr10	2720290	2720643
Chr10	2731734	2734309
Chr10	2737043	2741865
Chr10	2743360	2748402
Chr10	2752524	2753139
Chr10	2760613	2761920
Chr10	2763606	2764472
Chr10	2773035	2774542
Chr10	2780470	2783125
Chr10	2794499	2796678
Chr10	2801928	2802336
Chr10	2813579	2813833
Chr10	2829151	2830798
Chr10	2843294	2845487
Chr10	2849596	2855809
Chr10	2885293	2886579
Chr10	2885293	2889781
Chr10	2894398	2896031
Chr10	2897616	2899194
Chr10	2905134	2908371
Chr10	2912754	2914713
Chr10	2921766	2923678
Chr10	2925234	2934197
Chr10	2941801	2942965
Chr10	2950205	2951089
Chr10	2958892	2960029
Chr10	2966920	2967721
Chr10	2970812	2972478
Chr10	2978422	2981506
Chr10	2981620	2982628
Chr10	2990897	2992016
Chr10	2995396	2998062
Chr10	2999296	3001254
Chr10	3003609	3004187
Chr10	3012696	3013952
Chr10	3016886	3018074
Chr10	3020701	3022137
Chr10	3031617	3032720
Chr10	3053586	3054001
Chr10	3060936	3065547
Chr10	3084564	3085201
Chr10	3090596	3097445
Chr10	3113822	3118874
Chr10	3122019	3127272
Chr10	3340553	3340999
Chr10	3341675	3342934
Chr10	3358011	3360554
Chr10	3377532	3378509
Chr10	3393713	3395014
Chr10	3397799	3398236
Chr10	3424100	3432510
Chr10	3434266	3434520
Chr10	3438472	3439486
Chr10	3453921	3457621
Chr10	3459159	3460397
Chr10	3462828	3464267
Chr10	3464399	3464901
Chr10	3468006	3469320
Chr10	3472158	3475187
Chr10	3475542	3478197
Chr10	3500565	3504202
Chr10	3514904	3518648
Chr10	3525791	3526760
Chr10	3527148	3528119
Chr10	3530032	3533256
Chr10	3537913	3538890
Chr10	3551237	3553611
Chr10	3577241	3583051
Chr10	3587533	3589152
Chr10	3589774	3590031
Chr10	3595120	3600209
Chr10	3601762	3602214
Chr10	3612261	3613259
Chr10	3617680	3618134
Chr10	3620315	3621603
Chr10	3627944	3628456
Chr10	3629398	3629619
Chr10	3641071	3641743
Chr10	3651182	3653541
Chr10	3658530	3661569
Chr10	3683830	3685802
Chr10	3696797	3698774
Chr10	3701603	3703365
Chr10	3716418	3717249
Chr10	3727965	3730365
Chr10	3738080	3739288
Chr10	3740880	3743910
Chr10	3744206	3744526
Chr10	3745590	3746149
Chr10	3769365	3772209
Chr10	3779639	3781621
Chr10	3785715	3787398
Chr10	3793863	3804018
Chr10	3831504	3841455
Chr10	3844985	3845284
Chr10	3849207	3851735
Chr10	3863611	3864059
Chr10	3868240	3871296
Chr10	3878288	3884654
Chr10	3891913	3896022
Chr10	3903683	3904899
